BUCKHURST HILL ARDMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ408945,Long,0.032956,Lat,51.631699,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.59,2.69,2.43,0.53,0.88,2.04,2.19,1.25,4.5,0.84,1.2,0.67,1.43,1.53,3.43,3.01,0.55,3.6,1.58,1.49,3.54,3.81,3.07,2.2,3.32,1.32,2.9,1.81,3.02,1.82,3.16,1.43,2.81,1.6,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.22,1.96,3.55,1.06,1.57,0.8,3.1,0.99,2.32,0.9,1.2,0.74,2.72,1.55,1.67,0.59,2.39,3.71,4.29,0.95,1.04,3.43,0.53,0.62,2.18,3.68,0.73,2.58,3.28,3.49,1.59,0.55,0.83,1.96,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.4,0.58,0.45,2.35,1.79,2.27,2.09,3.17,1.24,0.88,2.4,3.41,0.94,1.81,3.27,1.79,4.27,0.87,4.39,1.92,0.99,2.7,1.57,0.95,1.71,2.21,0.97,0.65,0.27,2.25,1.5,0.02,1.76,0.19,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.61,2.39,1.07,2.07,0.51,1.89,0.96,2.12,0.55,3.33,2.86,1.72,1.15,1.56,0.05,2.69,0.73,0.94,1.2,2.82,4.01,3.63,4.1,1.42,3.43,1.71,3.28,1.84,3.64,2.09,1.12,1.32,2.17,3.56,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.27,1.33,0.92,1.62,3.22,2.44,2.38,0.74,1.68,2.11,1.82,1.44,2.04,1.91,0.96,1.41,1.97,2.78,2.16,2.68,2.92,0.25,1.03,1.61,0.93,1.95,3,2.2,1.37,1.73,2.55,1.99,3.49,2.79,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.23,0.7,2.08,0.85,3.31,6.3,0.93,3.37,2.23,2.4,2.17,4.4,3.13,3.25,2.92,0.42,2.6,1.36,2.12,1.24,0.98,1.74,1.73,0.41,1.82,0.78,2.2,0.15,3.72,2.77,2.55,1.06,2.25,1.56,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.67,2.04,1.6,2.41,1.86,7.9,2.26,1.84,0.92,2.41,5.04,3.2,2.18,0.74,1.27,1.79,1.31,5.03,1.73,4.57,7,2.44,4.82,0.19,4.28,2.85,4.17,3.51,2.75,2.97,1.99,1.72,2.15,2.87,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,1.03,0.35,2.23,1.57,4.37,4.99,2.02,2.76,0.97,1.58,3.35,2.12,2.42,0.87,4.52,1.01,1.72,3,6.06,5.03,1.97,2.96,2.04,1.32,3.29,2.27,1.94,2.37,2.23,3.58,2.21,1.86,3.47,5.02,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.39,2.78,1.31,1.64,1.12,2.68,1.1,2.67,1.86,0.76,1.8,2.36,0.82,1.32,2.12,1.26,0.75,2.38,1.18,2.04,5.24,1.25,4.11,1.8,2.73,1.93,3.54,2.28,1.61,4.47,0.64,0.49,3.23,1.97,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.4,2.31,1.91,2.38,1.27,7.15,1.64,1.1,3.9,3.13,1.79,4.34,2.27,2.96,1.81,3.59,1.09,2.17,3.86,4.08,1.72,0.8,1.19,0.81,0.99,5.84,3.31,2.78,2.41,1.78,3.48,3.58,1.3,0.86,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
