"COLNE (LOWER COPPY)",,,,,,,,,,,,
Grid ref,SD955408,Long,-2.069908,Lat,53.863397,,,,,,,
Station no,3072/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.32,5.18,1.06,4.02,2.55,5.09,3.66,3.39,3.23,5.24,,
February,4.11,1.65,1.69,2.90,2.35,1.50,3.23,5.84,0.39,2.59,,
March,5.08,2.41,2.02,2.86,2.42,1.92,4.62,1.95,1.87,1.57,,
April,2.68,3.50,3.42,0.76,1.68,3.17,0.67,1.28,3.34,2.80,,
May,4.24,3.64,2.14,3.87,3.60,1.86,1.38,5.50,1.36,1.58,,
June,1.92,3.10,2.48,2.70,2.91,3.10,2.38,5.34,3.04,0.99,,
July,3.81,2.03,5.90,4.98,1.12,4.44,5.25,3.98,2.61,7.37,,
August,4.28,6.03,5.57,8.75,1.13,8.98,6.08,4.02,0.99,4.85,,
September,3.17,4.90,3.96,5.63,2.90,4.36,5.30,4.90,0.36,2.87,,
October,1.78,4.16,2.18,8.07,3.57,2.31,5.54,4.39,5.45,4.62,,
November,10.09,1.86,5.21,7.22,2.66,1.51,2.06,1.39,5.51,7.05,,
December,8.58,3.49,2.28,6.38,6.05,4.48,5.26,4.69,8.83,4.71,,
Total,54.06,41.95,37.91,58.14,32.94,42.72,45.43,46.67,36.98,46.24,,
Calc annual,54.06,41.95,37.91,58.14,32.94,42.72,45.43,46.67,36.98,46.24,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
