COLNE (LOWER COPPY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD955408,Long,-2.069908,Lat,53.863397,Elevation,975,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3072/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.94,1.74,4.18,5.77,5.27,5.65,1.99,2.24,4.59,5.58,7.1,3.73,5.1,4.13,9.16,2.2,3.21,4.32,5.18,1.06,4.02,2.55,5.09,3.66,3.39,3.23,5.24
February,,,,0.3,6.43,2.43,5.5,1.96,4.45,1.99,5.63,1.05,3.55,2.71,5.51,6.58,1.79,3.82,3.73,6.47,4.11,1.65,1.69,2.9,2.35,1.5,3.23,5.84,0.39,2.59
March,,,,3.07,1.66,2.4,2.42,1.22,2.84,3.5,3.86,4.01,1.72,0.72,1.49,1.35,5.99,2.84,1.49,2.73,5.08,2.41,2.02,2.86,2.42,1.92,4.62,1.95,1.87,1.57
April,,,,2.73,2.85,1.7,3.45,0.81,2.13,3.4,3.05,1.4,2.76,3.59,2.87,1.89,4.76,2.29,4.49,3.37,2.68,3.5,3.42,0.76,1.68,3.17,0.67,1.28,3.34,2.8
May,,,,3.29,0.95,1.55,2.92,4.24,1.26,1.13,2.69,3.2,3.4,3.76,5.56,2,2.67,1.22,2.78,2.49,4.24,3.64,2.14,3.87,3.6,1.86,1.38,5.5,1.36,1.58
June,,,,3.18,3.67,3.68,3.12,4.71,3.12,0.89,0.63,1.41,4.35,3.4,3.95,2.9,3.37,5.22,0.7,3.55,1.92,3.1,2.48,2.7,2.91,3.1,2.38,5.34,3.04,0.99
July,,,,2.65,1.45,3.87,2.02,5.54,6.83,4.95,3.09,4.25,3.14,3.47,2.7,4.56,3.56,1.91,2.82,3.93,3.81,2.03,5.9,4.98,1.12,4.44,5.25,3.98,2.61,7.37
August,,,,3.62,1.27,2.79,2.38,7.35,2.87,2.47,6.08,4.35,6.71,2.95,3.99,8.22,0.37,5.72,3.03,7.06,4.28,6.03,5.57,8.75,1.13,8.98,6.08,4.02,0.99,4.85
September,,,,3.09,7.47,4.01,1.79,1.87,1.56,4.76,0.96,3.25,5.13,7.43,2.84,7.9,2.83,3.47,1.07,6.96,3.17,4.9,3.96,5.63,2.9,4.36,5.3,4.9,0.36,2.87
October,,,,4.76,9.04,4.04,2.48,9.59,2.96,4.41,6.49,7.55,3.41,5.41,6.31,1.11,1.45,2.89,5.09,3.82,1.78,4.16,2.18,8.07,3.57,2.31,5.54,4.39,5.45,4.62
November,,,,2.09,6.55,4.97,2.08,5.5,7.9,7.14,3.28,1.84,2.81,8.6,0.72,6.51,6.72,2.7,6.93,6.04,10.09,1.86,5.21,7.22,2.66,1.51,2.06,1.39,5.51,7.05
December,,,,6.43,3,4.25,2.06,6.02,2.84,4.33,1.94,4.13,2.64,5.45,3.2,4.39,4.31,4.28,7.88,2.68,8.58,3.49,2.28,6.38,6.05,4.48,5.26,4.69,8.83,4.71
Total,,,,39.15,46.08,39.87,35.99,54.08,44.41,40.96,39.94,41.03,45.2,54.59,42.87,52.51,41.95,45.52,42.21,52.31,54.06,41.95,37.91,58.14,32.94,42.72,45.43,46.67,36.98,46.24
