BURRINGTON-LINKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST476591,Long,-2.753455,Lat,51.328571,Elevation,335,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,5.69,1.23,4.56,3.08,1.22,3.52,5.81,4.83,4.56,4.19,2.08,4.45,4.27,5.54,4.16,7.75,1.71,5.41,2.46,4.7,2.77,2.81,0.65,4.08,5,4.84,5.18,2.37,3.56,4.53,6.08,2.74,2.22,3.49,2.92,7.98,1.01,0.88,4.21,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.02,3.96,4.84,5.6,1.57,2.54,3.21,1.48,0.32,4.44,8.55,0.42,5.62,2.43,3.57,3.16,1.44,0.75,2.43,0,4.06,0.4,2.79,2.68,5.74,1.3,1.91,2.34,3.15,0.14,1.83,0.87,3.33,2.99,1.44,2.23,1.89,7.4,4.42,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,4.07,5.58,1.46,4.19,2.72,1.38,5.13,2.98,2.51,2.8,1.83,2.32,0.39,0.95,4.13,3.47,0.22,2.48,1.04,2.68,3.74,2.27,1.03,3.37,3.86,0.28,1.24,2.98,3.61,2.22,1,0.28,1.24,1.05,6.09,1.92,0.91,1.7,4.48,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,3.9,2.12,1.47,1.9,2.53,2.74,2.49,5.25,1.4,2.71,2.39,3.68,2.61,2.86,2.05,1.3,0.84,2.89,2.19,3.39,1.54,2.51,5.11,3.14,3,0.16,3.51,2.08,1.51,0.92,1.18,3.36,1.05,3.11,2.92,1.68,2.07,2.7,4.66,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,3.1,2.08,2.45,4.19,1.87,1.81,0.52,2.44,2.39,1.64,1.66,4.66,4.66,2.5,1.42,0.75,2.6,1.61,3.55,5.18,2.19,1.48,1.57,1.56,2.58,2.52,1.21,2.62,1.64,6.12,2.85,1.82,4.01,5.25,3.18,3.78,4.38,2.3,2.82,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,2.08,1.8,0.81,2.91,4.04,1.03,1.32,4.87,0.21,1.82,0.66,3.58,0.02,2.25,3.96,2.79,2.41,1.05,4.36,1.65,1.36,1.68,3.7,1.87,1.29,1.13,2.55,0.66,1.49,0.41,1.63,3.46,4.73,4.46,2.32,2.48,0.68,1.97,0.83,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,0.73,4.71,4.44,1.24,2.96,5.43,2.58,7.02,0.81,4.59,2.82,4.87,4.89,2.93,5.1,3.62,1.9,2.94,4.98,3.39,2.42,0.69,0.68,6.03,5.21,3.75,5.59,6.32,2.07,2.62,2.46,3.02,1.68,1.89,2.74,1.54,1.09,5.95,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.63,4.3,2.58,5.37,9.57,2.67,3.74,1.79,2.75,4.87,4.04,6.6,7.55,3.38,4.87,4.54,6.52,7.77,4.66,1.25,1.93,4.12,1.96,0.61,1.5,5.26,4.13,0.29,5.69,4.77,5.14,3.05,2.72,5.38,1.01,5.24,2.96,7.42,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,3.19,2.01,2.4,2.05,3.48,10.7,2.03,1.96,2.95,3.28,3.79,4.58,4.33,2.42,6.8,1.32,0.66,4.78,1.79,7.19,2.69,3.14,7.34,3.55,2.34,3.39,1,2.21,0.82,2.1,3.49,3.84,3.05,5.54,2.23,3.09,2.18,6.74,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,3.04,2.6,4.68,7.54,7.88,2.33,2.64,2.9,1.46,1.16,5.07,6.64,4.56,5.91,3.52,7.41,7.02,3.61,1.18,7.28,2.81,2.99,6.21,2.24,4.83,7.72,3.22,3.63,1.67,4.34,3.64,4.89,4.77,1.21,0.81,5.08,6.43,2.21,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,4.06,4.55,1.89,3.52,1.07,2.13,2.47,2.06,2.37,2.17,3.84,3.29,2.43,7.62,4.35,3.35,10.14,4.77,4.84,2.37,0.81,1.53,7.15,4.12,2.15,5.81,8.68,8.76,2.45,1.6,2.54,6.99,0.5,5.96,3.13,2.79,3.84,7.68,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
