"REIGATE CASTLE GROUNDS",,,,,,,,,,,,
Grid ref,TQ251503,Long,-0.209359,Lat,51.238175,,,,,,,
Station no,121,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.37,1.53,1.00,2.69,4.83,1.29,4.22,1.22,1.73,1.10,,
February,4.84,2.10,1.37,2.14,3.45,0.95,2.81,1.78,1.17,0.49,,
March,0.86,2.41,1.99,3.30,1.68,3.53,1.01,1.06,3.05,3.03,,
April,1.38,2.34,1.17,2.41,1.70,1.73,0.33,4.12,2.65,1.84,,
May,1.35,1.20,3.05,2.99,2.84,0.67,1.35,2.28,2.16,1.72,,
June,2.94,1.98,3.89,5.37,1.85,4.23,1.93,1.73,2.09,2.64,,
July,1.34,1.81,2.27,3.70,1.05,0.82,0.53,2.39,3.20,3.93,,
August,3.07,2.76,3.59,4.34,1.83,2.93,0.79,3.20,3.69,2.40,,
September,1.32,2.60,0.84,3.46,1.48,2.55,1.50,0.50,1.85,3.18,,
October,2.29,2.13,2.46,7.50,2.59,1.37,4.00,3.88,2.07,4.72,,
November,3.26,0.73,2.65,2.45,1.50,4.25,5.00,3.36,0.87,0.88,,
December,3.54,4.98,1.59,2.42,3.15,0.70,2.15,3.46,2.83,3.63,,
Total,30.56,26.57,25.87,42.77,27.95,25.02,,28.98,27.36,29.56,,
Calc annual,30.56,26.57,25.87,42.77,27.95,25.02,25.62,28.98,27.36,29.56,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,0.00,-0.00,0.00,,
