PARKSTONE-PARKSIDE-ROAD-COTSWOLD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ042916,Long,-1.94172,Lat,50.72407,Elevation,150,ft,,,,,,,,,,,,,
Station no,1584,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.02,5.29,1.49,3.74,2.18,2.48,2.68,2.51,,,,,,
February,,,,,,,,3.11,2.49,1.42,0.8,2.03,0.11,3.79,0.04,,,,,,
March,,,,,,,,2.98,3.12,0.12,1.04,1.31,1.73,3.25,2.89,,,,,,
April,,,,,,,,1.97,1.68,0.92,2.13,2.51,2.7,1.29,1.64,,,,,,
May,,,,,,,,0.86,1.06,1.81,1.91,3.3,3.17,1.47,0.89,,,,,,
June,,,,,,,,1.96,2.16,1.51,0.39,2.49,2.25,1.38,1.23,,,,,,
July,,,,,,,,2.6,1.57,1.33,1.42,3.97,2.94,1.61,0.32,,,,,,
August,,,,,,,,3.21,2.38,1.1,3.08,3.11,0.72,1.17,3.48,,,,,,
September,,,,,,,,5.97,2.09,0.4,3.05,1.61,3.58,2.39,1.96,,,,,,
October,,,,,,,,2.46,7.14,4.45,2.2,0.55,5.76,1.53,1.3,,,,,,
November,,,,,,,,3.26,2.89,8.37,5.54,4.36,2.11,1.02,2.23,,,,,,
December,,,,,,,,4.03,3.18,6.78,3.87,0.96,1.4,1.09,8.44,,,,,,
Total,,,,,,,,34.43,35.05,29.7,29.17,28.38,28.95,22.67,26.93,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cotswold not found but Parkside Road very short and southern part matches elevation,,,,,,,,,,,,,,,,,,,,,
Moved to Lytchett Matravers,,,,,,,,,,,,,,,,,,,,,
