PATTINGHAM-KINGSLOW-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO791986,Long,-2.3099002,Lat,52.584801,Elevation,300,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2294/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.69,3.39,2.4,4.21,2.28,1.29,2.34,1.72,4.35,1.25,0.52,2.12,1.95,0.7,1.21,,2.42,,,,
February,,,,,,,,,,2.18,2.39,0.85,1.46,1.78,1.76,2.14,0.86,1.11,0.71,4.11,2.35,0.46,1.75,1.8,,0.56,,,,
March,,,,,,,,,,1.65,2.44,1.96,0.8,0.55,1.09,0.81,4.08,1.03,1.32,0.8,4.09,1.49,0.82,1.55,2.52,0.9,,,,
April,,,,,,,,,,3.32,1.26,1.23,1.08,1.31,0.84,1.44,2.01,2.11,,1.65,1.81,1.77,2.74,0.49,1.14,1.78,,,,
May,,,,,,,,,,2.32,2.69,3.33,2.98,0.68,3.71,1.99,2.89,1.45,2.66,1.23,3.21,2.81,2.07,2.48,4.6,0.57,,,,
June,,,,,,,,,,0.68,1.66,1.03,1.56,1.34,2.14,2.05,1.1,3.06,0.27,1.85,0.63,1.72,2.35,2.67,1.75,1.62,,,,
July,,,,,,,,,,2.63,2.59,1.49,1.63,2.14,1.42,1.67,5.96,1.39,,1.51,1.16,1.3,2.67,2.34,1.14,2.54,,,,
August,,,,,,,,,,0.23,3.82,2.23,1.81,2.75,2.62,6.54,0.76,4.73,1.34,2.23,3.41,2.88,2.53,4.56,0.53,3.29,,,,
September,,,,,,,,,,0.57,1.02,1.09,2.27,2.81,1.55,4.15,0.81,2.68,1.02,3.49,1.68,1.4,2.33,1.88,1.48,2.17,,,,
October,,,,,,,,,,3.6,2.64,1.83,2.03,3.49,3.35,0.63,0.54,2.64,4.4,0.81,1.07,3.08,1.65,3.25,1.1,1.73,,,,
November,,,,,,,,,,6.04,2.91,0.98,2.13,4.02,0.31,4.38,1.74,1.63,2.36,3.48,5.88,1.81,1.63,6.36,1.83,0.61,,,,
December,,,,,,,,,,1.69,1.21,2.38,1.04,1.66,2.53,2.54,2.03,4.41,,1.63,2.59,2.49,1.12,1.9,1.97,2.38,,,,
Total,,,,,,,,,,27.6,28.02,20.8,23,24.81,22.61,30.68,24.5,30.59,,23.31,30,23.16,22.36,30.49,,20.57,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Kingslow Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan and Feb 1940 corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
