LECKPATRICK,,,,,,,,,,,,,,,,,,,,
Grid ref,IC3663501278,Long,-7.430234,Lat,54.858084,Elevation,253,ft,,,,,,,,,,,,
Station no,RR2959,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,4.88,4.18,2.21,4.98,7.34,5.56,4.66,3.53,3.66,4.37,6.06,,,,,,,
February,,,1.46,1.74,2.72,3.3,4.09,3.27,3.31,4.27,3.62,2.86,3.79,,,,,,,
March,,,3.86,1.52,3.18,3.4,2.64,2.27,4.68,2.37,1.31,2.87,3.49,,,,,,,
April,,,3.81,2.6,2.58,1.55,1.26,3.75,2.11,3.01,2.32,3.29,2.89,,,,,,,
May,,,2.73,2.84,2.68,2.91,1.44,3.12,2.45,2.84,2.51,0.88,2.52,,,,,,,
June,,3,2.67,5.87,3.49,0.25,1.98,1.77,1.33,2.1,1.75,2.35,5.41,,,,,,,
July,,,4,0.52,2.56,1.75,1.96,8.45,1.05,3.09,1.76,6.42,,,,,,,,
August,,,2.48,4.68,1.98,5.37,4.46,3.05,5.14,1.68,2.42,2.49,5.66,,,,,,,
September,,6.26,2.26,5.46,4.38,0.73,4.4,2.27,1.64,4.49,3.78,2.39,7.22,,,,,,,
October,,2.65,6.68,5.25,2.28,5.3,2.35,7.96,3.31,2.36,9.74,3.76,,,,,,,,
November,,5.06,2.69,3.45,5.17,4.81,5.97,1.1,4.7,5.58,2.3,3.07,,,,,,,,
December,,2.14,4.93,3.59,1.76,3.64,4.75,2.51,4.77,6.55,3.42,2.58,,,,,,,,
Total,,,42.45,41.7,34.99,37.99,42.64,45.08,39.15,41.87,38.59,37.33,,,,,,,,
