MAIDSTONE-MOUNT-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ750558,Long,0.5075041,Lat,51.274473,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,2.32,4.21,1.45,0.87,1.12,2.73,2.03,0.57,2.21,2.92,1.88,1.05,1.9,0.54,2.89,3.52,0.77,1.04,,,,,,,
February,,,,,,3.12,0.41,0.46,1.55,2.37,1.23,0.15,1.7,3.51,2.04,0.59,0.48,2.18,1.15,2.31,4.29,1.57,1.4,,,,,,,
March,,,,,,1.42,1.36,1.98,3.46,1.8,2.68,1.97,2.05,0.47,1.13,1.4,2.81,3.93,2.15,0.82,0.85,2.59,1.45,,,,,,,
April,,,,,,2.18,1.77,1.68,1.71,3.14,3.13,0.57,1.14,0,2.32,1.57,0.56,1.29,1.35,2.97,1.02,2.22,0.46,,,,,,,
May,,,,,,2.71,2.24,2.05,0.82,1.85,1.57,3.42,0.46,1.06,1.68,0.05,0.45,1.43,3.77,1.84,1.04,1.22,2.83,,,,,,,
June,,,,,,1.41,0.25,1.29,3.5,1.97,2.1,2.11,3.12,0.79,2.77,0.04,3.3,1.88,1.56,0.89,3.09,0.93,2.58,,,,,,,
July,,,,,,0.14,2,1.01,5.04,3.04,4,3.38,2.11,2.28,4.95,3.62,1.83,0.3,0.77,2.08,1.52,2.31,1.78,,,,,,,
August,,,,,,0.86,3.01,2.24,2.07,2.42,3.02,2.96,3.71,1.47,2.7,1.75,2.45,2.2,1.55,1.72,2.03,2.45,3.65,,,,,,,
September,,,,,,4.29,1.94,2.97,1.43,1.96,1.17,0.97,2.45,2.2,2.68,0.61,7.68,2.7,0.48,2.79,0.73,1.29,-999,,,,,,,
October,,,,,,3.85,2.65,1.88,1.54,5.8,1.1,6.39,5.18,3.87,4.14,3.45,4.69,0.3,2.34,1.89,2.07,2.54,-999,,,,,,,
November,,,,,,2.88,3.24,5.33,4.39,0.94,3.3,1.83,2.71,3.01,3.44,4.23,1.01,1.31,2.86,3.48,2.44,0.78,-999,,,,,,,
December,,,,,,1,5.22,2.12,1.52,1.86,0.77,3.04,1.7,2.1,2.03,3.21,3.53,2.87,2.25,1.64,2.74,4.36,-999,,,,,,,
Total,,,,,,26.18,28.3,24.46,27.9,28.27,26.8,28.82,26.9,22.97,32.8,22.4,29.84,22.29,20.77,25.32,25.34,23.03,20.93,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902 Sep-Dec -999 (value=5.74),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute location confidence Medium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
