"MAIDSTONE MOUNT HOUSE",,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,RR4018,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.52,0.77,1.04,,,,,,,,,
February,4.29,1.57,1.40,,,,,,,,,
March,0.85,2.59,1.45,,,,,,,,,
April,1.02,2.22,0.46,,,,,,,,,
May,1.04,1.22,2.83,,,,,,,,,
June,3.09,0.93,2.58,,,,,,,,,
July,1.52,2.31,1.78,,,,,,,,,
August,2.03,2.45,3.65,,,,,,,,,
September,0.73,1.29,,,,,,,,,,
October,2.07,2.54,,,,,,,,,,
November,2.44,0.78,,,,,,,,,,
December,2.74,4.36,,,,,,,,,,
Total,25.34,23.03,20.93,,,,,,,,,
Calc annual,25.34,23.03,15.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,5.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
