CATERHAM-VALLEY-DEPOT,,,,,,,,,,
Grid ref,TQ344551,Long,-0.07408,Lat,51.27959,Elevation,465,ft,,
Station no,84,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,5.75,2.75
February,,,,,,,,,1.87,2.5
March,,,,,,,,,2.05,3.5
April,,,,,,,,,3.2,2.35
May,,,,,,,,,1.8,1.24
June,,,,,,,,,1.29,0.5
July,,,,,,,,,2.5,3.05
August,,,,,,,,,3.47,0.15
September,,,,,,,,,1.7,1.95
October,,,,,,,,4,7.77,
November,,,,,,,,3.94,6.62,
December,,,,,,,,4.2,2,
Total,,,,,,,,,40.02,
,,,,,,,,,,
1938 Oct New gauge set up at new site 0.25 miles S of old site,,,,,,,,,,
New site possibly govt offices in Godstone Road Elevation is about right,,,,,,,,,,
1940 Sept Station marked as terminated,,,,,,,,,,
1942 Nov 4 Gauge site has been taken over by the military The gauge has been removed and will not be set up on any new site,,,,,,,,,,
1940 sheet blank,,,,,,,,,,
