CATERHAM-VALLEY-DEPOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ342554,Long,-0.07646,Lat,51.28229,Elevation,431,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,2.61,1.75,2.94,4.44,1.02,4.8,2.19,1.89,3.74,4.64,3.83,3.25,4.2,1.87,3.25,3.42,3.64,2.8,4.97,1.64,3.85,2.51,2.88,2.34,2.53,1.65,6.15,6.06,4.03,,
February,4.41,2,2.71,1.43,4.93,5.46,5.35,1,1.82,2.94,0.74,0.36,3.21,4.32,0.86,4.89,2.93,5.09,2.05,0.71,1.26,3.16,0.75,2.99,0.51,4.2,2.51,5.3,1.15,,
March,1.47,2.35,4.59,3.74,5.81,0.99,5.3,1.91,1.2,4.56,1.98,1.96,2.82,2.12,1.81,0.99,0.53,3.89,3.01,0.05,1.84,0.42,2.09,3.9,2.85,0.4,1.68,4.5,0.46,,
April,2.06,2.17,0.14,3.52,1.34,1.78,1.83,3.04,4.73,3.36,3.64,1.83,3.75,2.76,3.92,3.02,5.09,2.32,2.46,1.18,2.05,4.91,3.03,0.81,3.65,3.68,2.49,3.61,0.24,,
May,2.91,2.36,1.21,1.54,1.69,2.96,3.33,1.84,2.14,0.1,1.01,2.13,1.32,3.18,4.4,2.65,1.72,1.55,2.59,2.48,3.07,3.56,4.57,1.9,0.72,1.68,0.51,2.46,2.58,,
June,2.09,2.34,4.04,0.42,0.91,1.27,3.31,2.08,0.86,1.08,2.14,0.22,1.8,0.61,2.72,0.28,4.51,4.91,2.91,1.36,0.76,1.52,1.59,2.1,1.34,3.54,2.92,1.98,0.76,,
July,3.28,0.32,2.03,2.39,2.48,4.79,1.17,4.75,5.24,2.45,4.86,0.24,3.78,3.45,4.29,4.09,2.24,3.03,1.99,2.88,3.26,3.6,2.59,2.05,1.9,0.93,4.6,0.98,2.05,,
August,3.25,0.46,6.16,1.9,1.97,2.74,4.07,6.2,1.19,2.96,1.82,1.92,3.2,2.6,3.66,2.66,2.99,6.57,3.03,2.6,4.34,6.04,1.48,0.98,2.09,3.28,0.76,2.35,3.88,,
September,1.12,1.43,3.65,1.71,1.08,2.83,1.68,2.75,6.1,1.33,4.6,1.29,2.72,1.9,4.5,3.58,1.15,6.11,0.76,0.2,4.52,1.99,2.37,2.91,2.15,5.6,2.5,2.3,3.14,,
October,3.31,5,3.62,4.2,2.01,2.73,5.74,4.64,2.38,0.86,1.89,1.32,1.49,7.45,4.04,4.08,3.05,2.4,6.72,4.57,2.08,1,7.25,2.14,2.55,4.92,2.82,3.24,,,
November,4.06,5.66,2.81,3.35,4.34,3.38,6.52,1.84,2.61,2.3,1.78,1.78,2.28,2.06,3.96,3.36,7.35,3.43,3.54,7.92,5.34,4.09,1.51,1.12,3.52,6.15,5.12,2.3,,,
December,4.53,7.61,3.98,1.63,9.79,7.28,3.59,2.6,3.34,5.19,3.33,2.26,4.85,3.29,4.58,3.86,0.66,5.94,4.12,8.06,2.59,0.46,0.51,0.65,8.25,4.54,4.02,4.98,,,
Total,35.1,33.45,37.88,30.27,37.37,41.01,44.08,34.54,35.35,31.77,31.62,18.56,35.42,35.61,41.99,36.88,35.86,48.04,38.15,33.65,34.96,33.26,30.62,23.89,32.06,40.57,36.08,40.06,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depot was at Waterdene Timber Hill Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No 1909 record in BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Nov 17 Inspection Poor exposure but no better available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Jan 17 New gauge fitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Sept New site inspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Oct Small tree cut down and site cleared as requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Oct New gauge set up at new site 0.25 miles S of old site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
