SYWELL-RESERVOIR,,,,,,,,,,
Grid ref,SP833652,Long,-0.78044672,Lat,52.278645,Elevation,300,ft,,
Station no,1115/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.3,1.31,0.91,0.78,1.73,3.38,1.29,2.71,3.64,3.44
February,3.07,0.61,1.18,1.81,1.42,0.39,2.14,3.14,0.05,1.79
March,3.2,2.38,0.82,2.16,1.86,0.68,1.95,1.55,2.84,1.84
April,2.96,1.66,1.68,0.26,0.7,0.81,0.4,0.79,2.19,0.47
May,2.57,2.44,1.27,2.13,3.4,0.53,1.48,2.04,0.37,1.05
June,1.01,0.89,1.44,2.71,1.88,2.78,2.45,5.51,0.62,2.79
July,0.58,0.32,2.54,2.86,0.16,4.83,2.69,2.93,2.23,3.17
August,3.58,3.63,2.26,3.44,0.56,4.8,2.14,3.01,0.8,3.49
September,1.22,1.84,1.07,1.88,1.42,1.85,4.22,2.37,0.02,4.2
October,0.5,2.48,1.76,2.02,1.64,1.29,1.7,2.17,1.76,5.11
November,4.36,2.68,1.67,5.15,1.15,0.69,1.55,1.89,1.96,3.31
December,1.51,1.98,0.5,2.06,2,3.2,2.5,2.43,4.02,3.08
Total,26.86,22.22,17.1,27.26,17.92,25.23,24.51,30.54,20.5,33.74
