WONSTON-UPTON-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU474392,Long,-1.3233,Lat,51.15065,Elevation,229,ft,,,,,,,,,,,,,
Station no,661,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.02,3.01,5.35,2.61,5.45,1.58,4.67,2.13,3.26,2.8,2.86,0.63,5.45,6.88,3.54,5.39,
February,,,,,0.33,4.4,1.73,4.79,2.16,0.84,0.89,1.87,0.15,5.37,0.15,3.81,3.14,5.32,0.64,1.89,
March,,,,,1.17,0.51,0.61,4.12,3.06,0.09,1.19,0.4,2.11,3.68,3.51,0.66,2.55,3.89,0.28,1.07,
April,,,,,3.35,2.86,3.29,2.31,1.71,0.73,2.18,3.61,3.1,1.11,2.21,4.01,2.03,2.2,0.04,2.01,
May,,,,,3.79,3.61,2.36,0.92,1.36,1.5,1.88,2.68,4.79,1.84,1.08,1.1,0.62,3.32,1.51,1.15,
June,,,,,1.86,0,2.36,2.55,2.5,1.42,0.39,2.06,1.97,3.28,1.36,4.18,1.83,1.32,0.64,2.21,
July,,,,,3.98,3.23,2.07,3.72,1.19,1.71,1.97,4.07,3.61,2.82,1.15,1.12,4.41,1.17,2.35,5.11,
August,,,,,2.4,3.1,1.12,3.42,2.11,1.07,4.03,3.76,0.71,0.51,3.36,2.38,0.2,1.56,1.62,2.47,
September,,,,,4.45,3.43,1.21,5.75,1.42,0.31,3.27,1.79,4.03,2.72,2.05,4.26,3.83,2.23,1.44,0.98,
October,,,,,4.45,3.75,2.38,1.94,5.68,3.92,1.68,0.61,4.44,2.46,1.64,5.15,1.81,3.7,3.38,4.49,
November,,,,,3.01,2.52,7.56,4.03,2.72,9.48,4.83,3.49,2.09,0.84,2.23,6.68,3.03,1.43,5.15,5.68,
December,,,,,5.97,3.91,0.43,4.17,2.96,8.21,3.27,0.86,1.33,0.51,10.14,4.08,3.73,3.1,3.93,1.53,
Total,,,,,37.78,34.33,30.47,40.33,32.32,30.86,30.25,27.33,31.59,27.94,31.74,38.06,32.63,36.12,24.52,33.98,
,,,,,,,,,,,,,,,,,,,,,
1940 Station terminated,,,,,,,,,,,,,,,,,,,,,
