WOKINGHAM-PINEWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU835659,Long,-0.8014457,Lat,51.386013,Elevation,215,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,2.95,0.62,3.79,0.71,1.54,0.77,2.15,1.19,3.91,3.2,0.54,,,1.14,2.92,2.91,,2.18,,,,,,,,,
February,,,,,3.12,0.59,1.92,1.45,1.33,0.3,3.07,1.3,1.83,0.67,2.92,,,0.83,0.95,2.47,0.47,0.4,,,,,,,,,
March,,,,,1.14,3.74,1.49,1.04,2.87,3.7,1.08,1.64,3.07,2.04,4.36,,,1.73,0.91,4.37,1.77,1.13,,,,,,,,,
April,,,,,1.3,1.76,0.65,2.95,3.72,2.22,2.04,1.61,0.04,2.71,0.7,,,1.85,3.07,2.46,3.69,0.63,,,,,,,,,
May,,,,,2.9,0.67,2.39,1.33,1.29,1.53,1.96,3.35,2.02,1.75,1.56,,,1.46,2.01,0.24,0.97,1.67,,,,,,,,,
June,,,,,0.87,4.18,2.45,2,0.97,3.87,3.24,1.7,3.85,0.46,2.12,,,2.32,1.18,1.07,1.56,0.27,,,,,,,,,
July,,,,,2.04,0.44,0.4,1.07,1.68,2.53,2.58,0.45,1.51,0.77,1.76,,,5.72,5.07,1.92,4.99,0.23,,,,,,,,,
August,,,,,1.79,2.97,0.97,2.17,2.8,2.43,2.16,1.59,5.1,1.02,,,,4.45,1.13,2.48,1.53,1.38,,,,,,,,,
September,,,,,1.56,2.37,1.28,0.73,1.44,3.58,,1.1,2.61,1.72,,,,1.85,5.51,1.47,1.86,1.63,,,,,,,,,
October,,,,,1.53,1.67,5.17,4.98,2.27,5.51,3.95,2.58,2.45,3.9,1.68,,,3.31,2.25,0.88,2.18,1.07,,,,,,,,,
November,,,,,1.66,3.18,4.06,2.22,0.89,0.67,3.09,3.67,1.86,2.54,2.45,,,0.74,2.32,1.57,1.18,1.75,,,,,,,,,
December,,,,,2.37,0.88,2.27,3.26,2.26,2.7,4.18,5.88,3.21,1.21,,,,0.31,2.05,4.7,2.1,1.22,,,,,,,,,
Total,,,,,23.23,23.07,26.84,23.91,23.06,29.81,,26.06,31.46,21.99,,,,25.71,29.37,26.54,,13.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Pinewood Hospital; the observers are noted as being MD and/or medical superintendent. Altitudes match. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relationships to church and station are reasonable match for distance but 90 degrees out on direction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
