"GERRARDS CROSS (BULSTRODE GARDENS)",,,,,,,,,,,,
Grid ref,SU985884,Long,-0.579683,Lat,51.585857,,,,,,,
Station no,1010,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.27,2.05,0.98,0.93,2.82,4.39,1.71,2.85,2.53,3.02,,
February,4.98,0.77,1.81,2.53,1.70,0.23,3.26,2.76,0.06,2.23,,
March,4.05,3.12,0.68,2.57,1.28,0.92,1.41,1.45,2.55,1.41,,
April,3.05,2.16,2.80,0.53,0.66,1.55,0.35,1.28,2.52,0.81,,
May,2.65,3.85,1.60,3.06,4.28,0.31,1.43,2.71,1.03,2.11,,
June,1.20,1.29,1.92,3.70,2.30,2.70,1.31,2.76,0.74,1.73,,
July,0.90,0.69,4.05,3.24,0.84,3.38,3.96,2.70,3.01,3.64,,
August,4.32,3.99,2.30,3.25,1.00,3.71,2.64,3.97,1.22,3.28,,
September,3.27,3.72,2.12,2.29,1.77,3.19,3.25,5.21,0.07,2.70,,
October,0.95,3.13,2.94,2.26,2.74,1.90,2.19,2.27,2.32,7.86,,
November,6.25,3.19,1.54,4.37,2.81,0.56,2.14,2.38,2.11,4.51,,
December,1.63,2.96,0.64,2.25,2.84,3.99,2.27,3.11,4.30,5.65,,
Total,36.52,30.92,23.38,30.98,25.04,26.83,25.92,33.45,22.46,38.95,,
Calc annual,36.52,30.92,23.38,30.98,25.04,26.83,25.92,33.45,22.46,38.95,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
