TORQUAY-WATCOMBE-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX917678,Long,-3.52718,Lat,50.50042,Elevation,483,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,4.63,2.82,5.99,3.25,1.12,1.17,6.34,3.17,1.66,3.31,4.96,4.52,0.75,2.74,0.87,5.74,5.8,,,,,,,,,
February,,,,,5.69,4.38,1.51,0.75,0.56,0.87,1.71,0.02,2.6,5.04,1.76,0.04,0.6,3.63,2.35,5.68,6.39,,,,,,,,,
March,,,,,2.57,1.47,4.32,1.45,4.57,4.25,1.47,4,1.22,0.15,1.58,3.06,3.65,5.16,1.77,0.67,1.89,,,,,,,,,
April,,,,,1.98,3.59,2.29,1.18,1.81,1.55,3.12,1.77,0.91,0.43,2.63,2.31,0.19,4.45,1.32,3.39,1.32,,,,,,,,,
May,,,,,1.61,3.23,4.57,1.72,2.04,1.95,1.7,4.09,0.65,1.05,2.55,0.94,0.03,1.96,3.44,2.23,1.99,,,,,,,,,
June,,,,,1.68,1.38,1.23,0.09,2.68,0.83,2.41,4.26,1.75,0.82,2.4,1.33,2.06,3.28,1.15,1.29,3.43,,,,,,,,,
July,,,,,2.72,0.26,2.49,1.71,7.19,3.55,2.45,3.26,1.44,4.31,5.2,2.93,1.73,1.93,0.34,1.45,0.71,,,,,,,,,
August,,,,,0.75,3.11,1.96,1.37,2.79,1.77,2.71,5.76,3.18,1.13,3.67,3.11,1.21,3.75,2.05,2.99,1.96,,,,,,,,,
September,,,,,1.5,3.51,2.21,2.71,0.54,1.04,0.9,1.41,2.47,1.85,3.85,0.48,5.44,3.37,0.96,2.29,1.26,,,,,,,,,
October,,,,,1.12,6.29,5.79,3.13,1.48,4.55,0.73,9.69,4.93,2.36,7.36,4.07,4.26,1.14,6.17,2.11,2.15,,,,,,,,,
November,,,,,1.65,4.48,3.01,4.86,9.39,1.85,3.06,4.71,3.15,2.06,7.35,7.69,0.88,1.54,3.94,4.62,3.5,,,,,,,,,
December,,,,,3.9,2.5,6.9,3.3,3.44,1.94,4.67,5.65,1.29,4.62,2.31,5.58,7.88,6.84,4.22,5.01,6.51,,,,,,,,,
Total,,,,,29.8,37.02,42.27,25.52,37.61,25.32,31.27,47.79,25.25,27.13,45.62,36.06,28.68,39.79,28.58,37.47,36.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currently called Brunel Manor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
