THRAPSTON-CLOPTON-MANOR,,,,,,,,,,
Grid ref,TL062801,Long,-0.44020329,Lat,52.408607,Elevation,245,ft,,
Station no,RR8258,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.77,3.07,2.14,0.96,2.38,1.62,2.04,2,4.15
February,,1.02,1.36,0.61,1.04,2.44,3.86,0.79,1.07,2.44
March,,1.6,2.39,3.19,2.72,1.22,3.92,,0.77,
April,,0.86,0.07,2.44,0.68,0.9,1.02,,2.94,
May,,1.42,2.21,1.95,0.85,2.25,2.33,2.17,1.88,
June,,1.46,3.73,0.89,3.1,1.22,2.3,2.76,0.31,
July,,0.14,5.3,1.34,2.94,3.36,1.48,1.46,3.07,
August,,2.78,7.14,1.26,2.39,2.49,2.96,5.5,0.9,
September,,1.38,1.37,1.58,1,1.26,0.79,1.86,4.85,
October,,2.07,2.43,3.36,2.82,1.12,1.91,2.81,1.56,
November,,2.53,1.8,1.96,2.49,2.46,3.11,1.01,2.17,
December,,4.17,3.19,0.69,4.96,4.41,3.07,0.52,1.73,
Total,,20.2,34.06,21.41,25.95,25.51,28.37,,23.25,
