STRATH DEARN (COIGNAFEARN LODGE),,,,,,,,,,,,
Grid ref,NH681153,Long,-4.185342,Lat,57.209416,,,,,,,
Station no,5700/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,8.98,5.61,5.53,4.27,,
February,,,,,,,4.70,4.52,1.50,3.78,,
March,,,,,,,3.90,1.10,2.82,0.73,,
April,,,,,,,2.54,2.42,4.36,6.32,,
May,,,,,,,1.60,3.44,1.44,0.53,,
June,,,,,,,3.06,1.94,3.29,4.04,,
July,,,,,,,5.21,5.10,3.49,2.30,,
August,,,,,,,8.45,4.37,1.57,6.64,,
September,,,,,,,4.24,4.58,0.34,2.64,,
October,,,,,,,4.88,5.83,7.60,3.51,,
November,,,,,,,2.74,0.69,7.42,2.68,,
December,,,,,,,6.41,3.32,5.45,5.27,,
Total,,,,,,,56.71,42.92,44.81,42.71,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,56.71,42.92,44.81,42.71,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
