STRATH DEARN (COIGNAFEARN LODGE),,,,,,,,,,
Grid ref,NH681153,Long,-4.185342,Lat,57.209416,Elevation,1460,ft,,
Station no,5700/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.98,5.61,5.53,4.27
February,,,,,,,4.7,4.52,1.5,3.78
March,,,,,,,3.9,1.1,2.82,0.73
April,,,,,,,2.54,2.42,4.36,6.32
May,,,,,,,1.6,3.44,1.44,0.53
June,,,,,,,3.06,1.94,3.29,4.04
July,,,,,,,5.21,5.1,3.49,2.3
August,,,,,,,8.45,4.37,1.57,6.64
September,,,,,,,4.24,4.58,0.34,2.64
October,,,,,,,4.88,5.83,7.6,3.51
November,,,,,,,2.74,0.69,7.42,2.68
December,,,,,,,6.41,3.32,5.45,5.27
Total,,,,,,,56.71,42.92,44.81,42.71
,,,,,,,,,,
TYRain_1951-1960_30_pt1 157,,,,,,,,,,
Discarded dup with 158,,,,,,,,,,
,,,,,,,,,,
Station no,5700/8,,,,,,,,,
Midas,14713,,,,,,,,,
Hyd Stn,808361,,,,,,,,,
