WHITEHAVEN THE FLOSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY016137,Long,-3.52128,Lat,54.509024,Elevation,208,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,4.88,5.44,2.09,4.34,6.82,3.63,10.09,9.09,7,,0.88,3.05,4.62,3.49,5.41,7.67,3.11,5.08,6.34,3.37,4.67,8.46,4.43,3.67,7.62,4.46,3.31,9.02,7.47,5.13,6.51,2.62,9.15,4.63,2.39,1.82,1.56,3.94,7.18,6.05,3.26,4.74,2.43,2.34,3.4,7.68,2.77,3.75,1.32,4.67,1.45,3.53,0.28,4.13,7.34,6.01,3.06,4.21,4.15,5.11,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.76,2.17,2.01,9.82,2.63,6.18,4.56,4.75,2.33,,1.34,3.23,3.77,0.47,4.48,2.65,4.44,1.12,2.59,2.04,3.99,4.8,3.35,5.13,4.78,3.33,4.85,4.43,0.76,4.09,2.09,3.86,3.81,2.34,2.67,3.8,4.66,3.86,3.79,5.57,7.32,2.51,3.01,2.19,3.32,0.82,0.38,1.15,6.58,5.62,0.7,2.28,2.52,4.29,3.63,6.53,2.57,1.8,4.63,3.65,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,4.24,4.8,1.23,5.38,1.12,1.65,4.38,0.23,1.48,,2.87,0.54,3.59,3.66,4.51,5.03,6.49,3.34,1.9,3.88,2.43,4.76,1.63,7.12,1.41,2.83,3.1,5.92,4.11,3.13,1.37,3.55,3.15,2.42,2.41,1.71,3.61,2.99,3.1,4.95,3.6,4.61,1.1,2.25,2.8,3.55,1.92,0.79,2.33,2.38,5.15,5.23,6.74,1.81,3.2,0.61,2.97,2.77,6.4,3.76,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.67,3.6,3.27,0.87,1.6,4.08,2.66,1.21,2.91,,1.57,2.38,2.02,2.58,4.02,2.53,0.77,5.41,2.91,3.02,0.81,1.17,4.54,3.13,3.88,2.24,3.23,1.37,0.42,1.4,1.62,2.27,2.34,2.18,1.01,3.24,1.08,5.06,2.29,2,4.72,2.31,3.2,2.11,1.91,1.52,1.22,1.89,0.75,2.36,2.43,2.16,2.93,4.25,5.68,3.48,3.76,2.37,1.9,3.6,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.74,2.64,3.04,2.23,3.17,1.37,1.25,4.95,0.33,,1.71,3.32,2.81,3.85,0.4,3.66,1.34,5.23,4.05,2.56,6.33,1.8,1.7,3.41,2.04,3.59,1.2,2.15,2.4,0.72,3,0.38,3.25,2.34,2.8,1.68,3.57,4.1,1.55,2.81,2.39,6.22,2.32,2.26,2.79,4.25,1.85,4.79,3.17,4.7,0.99,0.75,2.74,3.76,5.64,4.08,2.06,2.9,3.21,2.65,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,3.86,2.38,3.54,5.24,1.51,2.63,4.56,3.9,3.54,,4.38,5.34,3.35,2.24,2.58,4.63,4.41,4.2,3.98,3.67,0.77,2.53,1.64,1.26,1.52,2.2,2.12,6.86,2.54,0.44,4.7,4.45,4.07,2.45,2.8,2.32,3.33,5.68,4.47,0.98,1.65,1.47,1.05,1.08,1.3,7,1.54,4.06,2.95,4.46,1.35,2.98,5.65,3.2,1.84,4.05,3.35,1.75,2.87,1.91,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.52,8.88,1.2,4.6,6.34,6.66,3.83,2.46,6.68,,3.14,3.08,3.26,4,2.94,2.23,5.26,3.85,1.25,2.03,2.98,5.43,3.48,0.81,2.25,1.37,3.88,3.73,5.72,2.5,2.96,2.63,5.25,0.78,6.85,3.51,6.11,8.24,1.96,5,4.16,6,3.42,6.29,3.11,4.58,2.37,2.75,4.32,4.18,5.1,6.54,1.83,0.88,5.85,2.51,0.64,4.46,6.5,3.2,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,7.22,5.31,4.98,8.07,4.27,5.74,5.82,6.1,4.13,,4.53,5.12,2.09,3.15,6.33,6.65,7.38,5.15,4.08,5.51,5.38,4.91,6.6,4.11,2.52,1.26,4.24,3.27,5.23,7.22,4.48,4.49,6.42,4.07,6,1.35,5.62,4.54,5.13,2.58,1.96,2.63,1.25,3.29,6.42,5.5,8.59,9.14,6.52,6.03,7.84,3.96,6.14,8.54,2.36,7.94,6.16,4.2,5.14,5.35,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,4.11,2.86,4.21,2.72,2.89,2.52,3.64,2.26,3.27,,1.99,4.36,4.94,5.67,6.25,2.03,4.83,2.42,6.33,6.9,2.86,8.02,3.59,1.74,9.63,5.18,1.74,6.88,2.17,4.67,5.45,6.53,3.21,5.89,5.92,5.44,2.86,3.82,3.72,4.1,7.77,6.82,4.79,2.38,3.46,4.69,9.25,7.13,3.81,0.51,2.01,5.87,4.87,3.71,5.5,5.01,3.27,2.17,6.72,2.03,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,7.35,9.54,6.56,8.36,6.19,4.86,5.51,3.95,5.14,,6.43,3.66,3.18,6.61,4.33,9.12,3.05,8.78,6.51,2.63,4.32,2.53,6.06,6.23,4.1,8.55,5.61,8.14,8.92,7.75,5.25,3.79,7.88,4.55,2.63,0.84,2.21,4.66,4.73,4.7,4.42,4.91,3.5,5.61,3.95,4.45,9.87,5.16,6.81,4.51,5.74,7.03,3.71,4.07,3.41,5.6,7.94,4.44,10.4,5.52,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
