STRETHAM ENGINE,,,,,,,,,,,,
Grid ref,TL516730,Long,0.223541,Lat,52.334143,,,,,,,
Station no,1214/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.48,0.42,0.36,1.51,1.06,0.93,2.45,0.89,0.81,0.88,,
February,2.02,0.58,0.73,0.40,2.25,1.00,1.79,1.07,0.83,0.18,,
March,0.44,1.52,0.76,1.58,0.95,1.61,1.17,0.88,1.39,2.25,,
April,0.65,1.87,0.82,1.25,0.54,1.49,0.96,2.06,2.44,1.03,,
May,1.14,0.72,2.02,2.26,1.62,1.33,1.04,2.81,0.95,1.58,,
June,1.75,1.62,2.34,3.11,0.55,2.43,4.38,1.53,1.58,4.66,,
July,1.09,1.35,1.47,5.18,2.89,0.77,1.23,1.94,3.44,3.77,,
August,2.21,1.49,3.01,2.92,1.57,2.14,0.90,1.46,1.78,1.59,,
September,0.36,0.83,0.66,2.21,1.22,2.17,0.70,0.54,1.62,2.56,,
October,1.77,2.13,1.35,4.35,1.30,1.07,2.93,2.05,0.95,3.11,,
November,1.28,1.15,0.87,1.85,0.95,1.40,3.08,2.25,0.79,0.35,,
December,1.71,1.89,0.83,0.95,1.60,0.75,1.70,2.36,1.47,2.62,,
Total,16.90,15.57,15.22,27.57,16.50,17.09,22.33,19.84,18.05,24.58,,
Calc annual,16.90,15.57,15.22,27.57,16.50,17.09,22.33,19.84,18.05,24.58,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
