"STRETHAM (ENGINE HOUSE)",,,,,,,,,,,,
Grid ref,TL516729,Long,0.223496,Lat,52.333245,,,,,,,
Station no,1214/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.18,1.24,0.79,0.75,1.22,2.42,0.87,1.60,2.21,1.93,,
February,2.19,0.54,0.95,1.86,1.79,0.54,1.60,2.28,0.15,1.02,,
March,3.00,2.53,0.23,2.20,1.49,0.29,1.46,0.74,2.98,1.55,,
April,2.54,2.14,1.83,0.27,0.45,1.20,0.03,0.92,0.97,0.17,,
May,2.20,1.14,1.26,2.96,1.81,0.51,0.77,2.38,0.44,0.67,,
June,1.93,1.04,2.89,1.63,2.03,1.93,1.93,4.52,1.53,2.76,,
July,0.76,0.49,2.54,2.75,0.10,2.81,3.43,3.65,3.34,3.25,,
August,2.57,2.46,2.15,4.50,1.09,4.01,1.24,2.65,0.56,2.84,,
September,2.15,2.11,1.17,1.36,1.74,1.09,3.03,2.72,0.02,4.00,,
October,0.89,1.17,2.45,1.74,2.24,0.68,1.26,1.64,1.42,4.01,,
November,2.67,2.89,0.85,2.91,0.93,0.88,1.17,1.57,1.07,3.09,,
December,1.11,1.18,0.66,1.79,1.41,1.88,1.75,2.23,2.35,2.73,,
Total,24.19,18.93,17.77,24.72,16.30,18.24,18.54,26.90,16.54,28.02,,
Calc annual,24.19,18.93,17.77,24.72,16.30,18.24,18.54,26.90,17.04,28.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.50,0.00,,
