ST BEES THE PRIORY,,,,,,,,,,,,,,,,,,,,
Grid ref,NX968120,Long,-3.594789,Lat,54.492797,Elevation,44,ft,,,,,,,,,,,,
Station no,RR6264,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,3.17,2.2,3.7,,,,,,,,,
February,,,,,,,,,2.41,2.57,5.86,,,,,,,,,
March,,,,,,,,,3.98,4.3,3.07,,,,,,,,,
April,,,,,,,,,2.36,3.67,2.59,,,,,,,,,
May,,,,,,,,,3.01,2.5,2.61,,,,,,,,,
June,,,,,,,,,2.71,3.52,1.88,,,,,,,,,
July,,,,,,,,,3.61,7.36,4.38,,,,,,,,,
August,,,,,,,,,3.94,2.63,6.67,,,,,,,,,
September,,,,,,,,,4.73,3.76,0.76,,,,,,,,,
October,,,,,,,,,1.8,8.48,2.09,,,,,,,,,
November,,,,,,,,,3.12,1.55,5.9,,,,,,,,,
December,,,,,,,,,4.02,7.02,5.87,,,,,,,,,
Total,,,,,,,,,38.86,49.56,45.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation of 10' on record not possible anywhere near to The Priory,,,,,,,,,,,,,,,,,,,,
