ST. BEES (EAGLESFIELD),,,,,,,,,,
Grid ref,NX962119,Long,-3.6029685,Lat,54.492455,Elevation,60,ft,,
Station no,3654/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,4.66,2.99,5.14,1.74,,,,,
February,,0.01,3.6,0.26,3.82,,,,,
March,,3.15,2.66,1.97,1.01,,,,,
April,,3.09,1.77,2.62,2.61,,,,,
May,,3.1,2.76,3.58,0.89,,,,,
June,,1.65,2.13,2.14,4.13,,,,,
July,,4.16,2.9,0.98,1.7,,,,,
August,,2.49,2.18,3.74,2.35,,,,,
September,,4.75,2.01,4.59,6.35,,,,,
October,,7.03,3.47,5.86,5.74,,,,,
November,,2.64,2.4,1.48,4.14,,,,,
December,,5.65,1.29,6.08,2.65,,,,,
Total,,42.38,30.16,38.44,37.13,,,,,
