ST BEES THE PRIORY,,,,,,,,,,,,
Grid ref,NX968120,Long,-3.594789,Lat,54.492797,,,,,,,
Station no,RR6264,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,3.17,2.20,,
February,,,,,,,,,2.41,2.57,,
March,,,,,,,,,3.98,4.30,,
April,,,,,,,,,2.36,3.67,,
May,,,,,,,,,3.01,2.50,,
June,,,,,,,,,2.71,3.52,,
July,,,,,,,,,3.61,7.36,,
August,,,,,,,,,3.94,2.63,,
September,,,,,,,,,4.73,3.76,,
October,,,,,,,,,1.80,8.48,,
November,,,,,,,,,3.12,1.55,,
December,,,,,,,,,4.02,7.02,,
Total,,,,,,,,,38.86,49.56,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.86,49.56,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
