ST. BEES ABBOT'S COURT - observer A Hodgetts,,,,,,,,,,,,,,,,,,,,
Grid ref,NX965119,Long,-3.5993832,Lat,54.491837,Elevation,40,ft,,,,,,,,,,,,
Station no,RR6262,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,4.43,5.72,2.27,7.72,4.03,1.2,1.33,0.76,2.62,4.45,5.41,2.49,3.75,,,
February,,,,,2.66,1.95,3.27,3.18,2.09,2.9,1.76,4.17,3.19,3.04,4.55,5.45,1.78,,,
March,,,,,2.47,1.11,2.67,2.61,2.28,1.63,2.01,2.24,2.85,2.09,4.29,4.15,3.26,,,
April,,,,,2.07,1.57,1.96,2.5,1.9,1.17,2.54,1.55,1.66,2.21,1.2,2.68,1.9,,,
May,,,,,0.79,2.34,0.52,3.25,2.56,1.83,1.72,2.55,2.25,1.35,2.13,2.2,5.26,,,
June,,,,,0.96,3.9,3.92,3.42,2.02,3.19,1.98,4.22,4.12,3.65,0.6,1.06,0.66,,,
July,,,,,2.48,3.4,2.26,3.93,0.5,6.36,3.23,3.75,6.83,1.77,4.43,2.82,4.84,,,
August,,,,,6.02,3.4,3.76,6.41,5.29,5.13,1.15,3.96,4.2,3.15,2.57,1.39,3.7,,,
September,,,,,3.07,4.12,5.71,3.34,4.7,4.31,4.33,2.95,4.18,3.55,3.4,5.34,4.79,,,
October,,,,,5.63,4.54,3.98,6.8,4.1,2.16,0.88,3.37,2.81,3.9,3.12,3.49,4.55,,,
November,,,,,4.77,3.44,2.8,9.51,2.45,1.36,3.77,5.55,4.12,5.59,2.32,3.14,4.68,,,
December,,,,,2.28,2.43,5.07,5.39,2.07,2.61,4.4,4.06,2.32,3.7,4.62,1.87,3.61,,,
Total,,,,,37.63,37.92,38.19,58.06,33.99,33.85,29.1,39.13,41.15,38.45,38.64,36.08,42.78,,,
