ST. BEES CUMBERLAND - Observer Hughes,,,,,,,,,,,,,,,,,,,,
Grid ref,NX971113,Long,-3.5899149,Lat,54.48657,Elevation,100,ft,,,,,,,,,,,,
Station no,RR6261,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,6.19,3.46,7.75,4.81,3.79,10.1,5.72,4.21,,,,,
February,,,,,,,,3.62,4.21,3.55,2.49,6.19,4.36,1.18,3.87,,,,,
March,,,,,,,,2.08,4.8,0.68,1.56,2.95,4.32,3.23,2.45,,,,,
April,,,,,,,,4.93,2.44,2.39,1.17,5.52,1.28,0.45,2.51,,,,,
May,,,,,,,,0.96,3.24,2.8,3.53,0.98,2.16,1.81,0.76,,,,,
June,,,,,,,,1.07,0.22,0.53,2.21,2.29,6.84,1.7,0.96,,,,,
July,,,,,,,,3.08,0.2,1.2,0.41,3.76,5.34,5.84,2.09,,,,,
August,,,,,,,,4.16,2.69,1.84,0.73,3.92,3.37,5.05,5.92,,,,,
September,,,,,,,,2.75,1.24,5.43,5.19,1.08,5.06,2.55,4.54,,,,,
October,,,,,,,,6.25,3.48,3.12,2.52,7.74,7.57,7.17,6.98,,,,,
November,,,,,,,6.12,0.92,2.84,5.2,3.9,3.56,5.16,2.89,5.79,,,,,
December,,,,,,,4.72,4.2,9.92,2.69,1.53,5.76,5.32,2.14,2.54,,,,,
Total,,,,,,,,40.21,38.74,37.18,30.05,47.54,60.88,39.73,42.62,,,,,
