ST BEES - observer Rev. Alderson,,,,,,,,,,,,,,,,,,,,
Grid ref,NX970119,Long,-3.591667,Lat,54.491939,Elevation,50,ft,,,,,,,,,,,,
Station no,RR6263,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,6.59,4.85,3.89,,,,,,,,
February,,,,,,,,,,2.99,5.5,1.06,,,,,,,,
March,,,,,,,,,,2.55,0.81,2.48,,,,,,,,
April,,,,,,,,,,3.83,2.41,3.35,,,,,,,,
May,,,,,,,,,,5.22,3.44,1.95,,,,,,,,
June,,,,,,,,,,3.05,2.87,2.78,,,,,,,,
July,,,,,,,,,,4.14,2.03,0.87,,,,,,,,
August,,,,,,,,,,1.78,6.3,4.8,,,,,,,,
September,,,,,,,,,,4.4,3.68,2.53,,,,,,,,
October,,,,,,,,,,2.74,5.11,6.02,,,,,,,,
November,,,,,,,,,,4.2,4.94,5.15,,,,,,,,
December,,,,,,,,,,3.83,5.71,6.12,,,,,,,,
Total,,,,,,,,,,45.32,47.65,41,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"The observer, Rev WH Alderson, lived at Grindle House, Main St in 1901 - NGR for that",,,,,,,,,,,,,,,,,,,,
