"BRAINTREE, BOCKING, BUSH HOLME",,,,,,,,,,,,
Grid ref,TL761237,Long,0.557280,Lat,51.884046,,,,,,,
Station no,RR4292,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.08,,,,,,,,,,,
February,3.63,,,,,,,,,,,
March,1.16,,,,,,,,,,,
April,0.88,,,,,,,,,,,
May,1.12,,,,,,,,,,,
June,2.98,,,,,,,,,,,
July,1.44,,,,,,,,,,,
August,2.74,,,,,,,,,,,
September,0.92,,,,,,,,,,,
October,1.71,,,,,,,,,,,
November,2.08,,,,,,,,,,,
December,2.70,,,,,,,,,,,
Total,24.44,,,,,,,,,,,
Calc annual,24.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
