"BRAINTREE, BOCKING PLACE",,,,,,,,,,,,
Grid ref,TL758234,Long,0.552773,Lat,51.881446,,,,,,,
Station no,RR4292,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.23,0.42,0.71,2.00,2.31,0.97,,,,,,
February,3.50,0.89,1.12,0.46,2.49,0.72,,,,,,
March,0.65,2.29,1.19,1.70,1.64,2.36,,,,,,
April,0.70,1.96,0.65,1.84,0.74,1.69,,,,,,
May,0.94,0.90,2.32,3.03,1.77,0.71,,,,,,
June,2.39,1.52,3.97,4.90,0.65,2.83,,,,,,
July,1.51,1.49,1.38,4.97,1.87,0.65,,,,,,
August,2.91,1.51,4.38,3.88,1.06,3.13,,,,,,
September,0.54,1.26,0.77,2.05,1.16,1.56,,,,,,
October,1.44,2.30,0.90,4.75,0.74,1.01,,,,,,
November,1.85,0.80,1.64,1.92,1.49,2.24,,,,,,
December,2.75,3.69,1.07,1.38,1.56,0.71,,,,,,
Total,22.41,19.03,20.10,32.88,17.48,18.58,,,,,,
Calc annual,22.41,19.03,20.10,32.88,17.48,18.58,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,NaN,,
