STUBTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK875490,Long,-0.697,Lat,53.031,Elevation,94,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911
January,1.46,2.40,1.03,2.02,1.20,2.51,1.45,2.66,1.45,0.47,2.68,2.13,1.63,2.06,1.75,2.38,1.57,0.74,0.24,0.66,1.93,2.43,2.46,1.63,3.14,2.37,0.86,1.47,2.45,1.64,0.83,1.69,1.51,2.80,1.06,1.54,0.64,2.54,2.36,1.06,0.76,1.64,2.04,0.52,2.80,0.88,0.76,0.81,1.26,1.25
February,0.36,0.33,2.23,1.90,1.83,1.44,1.48,2.11,1.57,1.43,2.58,1.77,1.76,1.37,2.05,1.83,1.05,2.59,1.92,4.26,2.02,3.33,1.23,2.36,0.26,0.63,1.35,1.73,0.99,0.09,1.47,2.19,1.76,0.12,0.72,2.61,0.48,1.23,4.13,1.34,1.90,0.74,2.72,0.80,2.07,1.02,1.84,0.45,1.95,1.18
March,3.86,0.66,2.05,1.45,1.54,2.29,1.59,2.39,1.59,1.18,2.03,1.48,1.20,0.54,2.72,1.95,0.49,0.64,2.01,1.42,1.42,0.94,1.41,0.95,2.42,1.43,3.18,2.76,1.62,1.13,0.77,0.27,0.63,1.85,1.98,2.01,1.18,0.51,0.97,1.73,1.17,3.27,1.67,1.58,1.13,1.25,2.67,3.18,0.52,1.52
April,2.10,1.28,0.90,0.46,1.34,3.00,1.24,2.36,0.48,3.60,3.73,0.79,1.04,0.74,2.96,3.07,1.74,2.84,2.00,0.80,3.20,2.44,1.14,2.19,1.82,1.14,2.60,2.95,0.59,1.38,1.20,0.10,1.78,1.60,0.81,0.92,1.83,1.99,0.98,1.39,1.68,1.48,1.10,1.57,0.58,1.80,2.00,1.27,1.36,0.68
May,2.27,0.63,1.65,2.61,1.11,3.61,0.20,5.40,0.28,1.42,1.78,2.44,0.99,1.47,1.21,1.61,4.39,3.29,1.04,1.10,1.82,1.87,0.84,2.09,5.19,2.23,0.55,5.87,2.60,3.72,2.72,1.37,2.07,0.73,0.77,1.09,2.93,3.71,1.57,1.43,2.78,3.05,1.86,0.56,1.17,3.19,1.57,0.84,2.54,3.19
June,1.36,3.32,1.20,1.59,2.66,1.37,0.34,1.50,1.55,2.36,3.73,1.42,0.85,2.24,3.57,1.28,1.96,3.60,3.95,1.78,3.92,4.18,0.43,2.98,1.32,0.44,1.89,0.57,1.76,2.77,3.34,0.97,2.08,1.09,3.09,2.89,0.94,1.05,1.79,1.44,2.26,1.33,0.74,2.34,2.39,1.99,1.04,2.49,1.79,2.47
July,1.18,0.73,0.41,3.66,3.18,2.08,0.26,0.63,0.72,4.17,4.07,1.34,0.95,4.19,0.95,2.26,1.09,3.99,5.82,1.99,2.66,3.95,4.22,0.21,2.99,1.14,3.80,1.92,2.36,2.61,2.59,3.17,2.44,3.08,2.05,0.64,1.21,1.60,2.11,2.20,1.39,1.94,3.00,1.57,0.78,1.96,2.51,3.73,2.04,0.29
August,2.45,2.26,0.97,3.68,3.70,2.36,2.60,1.45,1.28,0.40,2.81,3.07,2.25,1.97,1.33,3.54,6.04,3.27,1.73,4.70,3.04,1.35,1.59,2.66,2.41,1.06,2.62,3.30,2.80,3.14,1.79,1.06,2.09,1.42,1.30,3.51,2.62,1.03,4.44,1.21,4.18,4.80,2.49,2.83,1.86,1.85,2.40,3.07,3.30,1.61
September,3.13,2.37,2.42,0.21,4.22,1.17,2.15,2.22,1.08,4.61,2.31,1.77,2.41,2.17,4.15,1.94,1.66,3.42,4.50,2.22,2.75,4.90,0.74,3.37,1.46,2.48,1.99,2.25,0.96,1.13,2.85,1.45,0.57,0.51,3.12,1.91,0.34,2.07,0.62,1.35,0.93,2.46,1.70,2.31,1.27,0.64,1.25,3.02,0.83,1.77
October,2.47,2.31,1.72,5.44,2.24,2.20,2.44,1.15,4.06,1.68,3.92,1.83,1.91,4.68,2.01,1.60,2.38,0.91,5.72,2.86,5.50,2.48,1.10,5.15,3.85,1.98,0.56,4.07,0.96,4.37,4.93,1.50,2.16,3.00,3.18,0.79,3.04,2.51,2.25,1.10,2.10,6.32,0.50,1.12,4.08,4.09,0.90,2.11,1.91,2.25
