MELTON-BROMESWELL-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM302506,Long,1.360102,Lat,52.105794,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.56,1.48,1.71,1.79,2.89,1.92,2.01,4.57,1.28,2.06,1.32,2.42,1.25,3.07,1.33,1.82,1.85,1.35,1.21,1.4,1.81,,,,,
February,,,,,,2.37,3.97,0.49,0.85,3.41,0.55,0.25,1.99,3.35,1.42,1.56,1.79,2.23,0.93,0.6,1.05,2.68,0.48,1.45,0.52,1.73,,,,,
March,,,,,,0.97,4.02,2.51,0.68,2.09,0.66,1,1.77,1.19,0.58,1.26,0.22,2.28,2.28,0.08,1.42,0.26,1.56,1.91,2.64,0.65,,,,,
April,,,,,,1.12,1.56,1.69,2.84,3.28,3.78,1.14,2.2,0.54,2.65,2.2,2.84,1.92,1.81,1.84,1.29,3.56,2.51,1.41,3,1.51,,,,,
May,,,,,,2.09,0.86,1.34,1.21,0.53,0.93,1.29,1.48,1.23,3.97,1.41,1.6,0.51,1.98,1.26,1.34,2.2,3.2,1.5,1.97,1.28,,,,,
June,,,,,,0.57,2.04,1.8,1.75,1.42,1.37,0.29,1.26,0.63,1.8,0.53,2.02,3.65,1.97,0.9,0.81,1.55,0.38,1.5,1.01,1.72,,,,,
July,,,,,,4.47,0.78,3.09,2.58,3.25,2.66,0.29,2.43,0.77,2.85,1.78,1.35,2.92,2.63,3.96,4.2,2.71,3.31,0.83,2.35,0.27,,,,,
August,,,,,,0.47,3.82,4.6,1.43,2.42,2.33,0.6,1.16,1.38,2.26,2.14,1.02,5.44,2.16,0.7,3.27,3.34,1.06,1.16,1.39,1.12,,,,,
September,,,,,,2.05,0.77,1.67,3.09,0.74,3.15,2.05,3.48,0.91,3.87,2.67,0.74,3.04,0.83,0.61,6.21,1.81,1.17,3.98,1.12,2.96,,,,,
October,,,,,,1.4,2.28,4.15,3.22,1.99,0.62,0.86,1.51,3.33,4.35,2.61,3.15,2.02,1.74,2.72,0.81,0.86,4.76,1.66,0.77,2.41,,,,,
November,,,,,,2.09,2.85,1.51,1.79,2.36,0.83,1.55,1.36,3.44,1.65,2.9,4,2.68,2.61,4.13,3.69,2,1.06,2.45,0.98,2.98,,,,,
December,,,,,,4.53,1.82,2.03,2.8,3.75,3.21,1.59,1.55,2.35,2.74,2.19,0.78,3.03,4.14,3.89,1.93,0.79,0.43,0.86,2.52,1.78,,,,,
Total,,21.16,23.46,19.51,21.77,24.69,26.25,26.59,24.03,28.13,22.01,12.92,24.76,20.4,30.2,22.57,21.93,30.97,26.15,22.02,27.84,23.61,21.27,19.92,19.67,20.22,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 Aug IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
