CARLISLE (SPITAL CEMETERY),,,,,,,,,,,,
Grid ref,NY390544,Long,-2.952287,Lat,54.880617,,,,,,,
Station no,3619,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.47,2.59,1.22,2.45,2.09,2.46,3.24,2.08,1.79,4.50,,
February,2.65,1.05,1.05,1.93,0.86,0.94,1.74,3.39,1.00,1.57,,
March,3.41,1.31,0.60,1.38,0.67,1.16,2.40,1.31,1.22,0.84,,
April,1.45,1.91,2.52,0.85,1.33,1.33,0.94,1.33,2.18,2.13,,
May,1.48,1.92,1.36,2.32,2.18,1.34,1.42,3.00,0.74,1.67,,
June,1.17,2.92,1.01,4.75,2.31,2.00,1.22,2.73,3.63,0.77,,
July,2.41,2.26,5.52,4.17,1.85,3.85,2.64,3.93,2.91,3.40,,
August,3.57,3.37,4.15,4.96,1.71,8.78,4.47,4.64,0.43,3.86,,
September,3.08,3.46,4.03,6.02,2.04,2.62,3.91,3.96,1.34,2.14,,
October,0.79,2.08,1.88,7.98,1.84,2.73,3.07,2.72,3.19,2.38,,
November,6.03,2.15,4.19,4.71,0.95,1.40,0.75,1.13,3.35,4.55,,
December,4.62,3.27,1.87,3.24,4.60,2.90,2.83,2.12,3.43,3.11,,
Total,34.13,28.29,29.40,44.76,22.43,31.51,28.63,32.34,25.21,30.92,,
Calc annual,34.13,28.29,29.40,44.76,22.43,31.51,28.63,32.34,25.21,30.92,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
