SEVENOAKS-CLARE-BANK,,,,,,,,,,
Grid ref,TQ525550,Long,0.18486189,Lat,51.273746,Elevation,417,ft,,
Station no,RR6937,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,2.88
February,,,,,,,,,,3.55
March,,,,,,,,,,0.99
April,,,,,,,,,,3.29
May,,,,,,,,,,3.9
June,,,,,,,,,,4.54
July,,,,,,,,,,3.34
August,,,,,,,,,,5.15
September,,,,,,,,,,2.64
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1879 Oct Gauge moved to Clare Bank,,,,,,,,,,
Approx NGR position,,,,,,,,,,
