PEN-Y-BONT-OBSERVER-PEARSON,,,,,,,,,,
Grid ref,SO115641,Long,-3.298304,Lat,52.26791,Elevation,750,ft.,,
Station no,RR4250,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,3.37,4.54,2.44,1.05,1.06
February,,,,,,4.78,1.54,0.71,0.89,2.36
March,,,,,,1.45,4.08,1.48,3.11,2.52
April,,,,,,2.82,2.06,1.43,1.81,4.58
May,,,,,,2.47,5.15,1.64,1.36,2.5
June,,,,,,2.33,2.42,0.87,2.4,0.4
July,,,,,,0.5,3.52,1.98,5.75,4.29
August,,,,,,2.08,2.04,2.89,5.07,3.25
September,,,,,2.53,4.2,3.97,2.97,0.55,2.16
October,,,,,1.53,5.04,5.29,2.48,2.36,3.14
November,,,,,1.26,3.92,3.47,3.2,6.7,1.48
December,,,,,5.47,1.54,5.58,3.41,4.46,2.48
Total,,,,,,34.5,43.66,25.5,35.51,30.22
,,,,,,,,,,
NGR is centre of Pen-y-bont but there is no real clue as to where in the village. The relationship to the church suggests the gauge could be East of the village but it is also possible that it is the same location as the following records where the observer is J Hamer. NGR could be +/- 1km or more,,,,,,,,,,
