HAMPSTEAD-THE-GROVE-HIGH-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ262860,Long,-0.1809261,Lat,51.558773,Elevation,470,ft.,,,,,,,,,,,,
Station no,RR6228,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.02,2.18,2.77,1.75,0.88,,,,,,,,,
February,,,,,,,2.49,1.03,0.83,1.77,1.09,,,,,,,,,
March,,,,,,,1.49,1.63,0.69,1.27,1.75,,,,,,,,,
April,,,,,,,1.65,1.56,1.03,0.89,0.37,,,,,,,,,
May,,,,,,,2.1,2.51,0.75,2.81,0.61,,,,,,,,,
June,,,,,,,4.3,1.26,0.46,0.87,0.66,,,,,,,,,
July,,,,,,,1.44,4.02,0.36,0.79,1.28,,,,,,,,,
August,,,,,,,2.37,2.46,2.64,1.04,1.67,,,,,,,,,
September,,,,,,,3.89,2.18,2.01,2.64,1.79,,,,,,,,,
October,,,,,,,2.05,1.99,2.06,1.58,2.37,,,,,,,,,
November,,,,,,,1.31,0.74,0.59,1.85,1.06,,,,,,,,,
December,,,,,,,1.64,1.23,4.34,2.21,2.69,,,,,,,,,
Total,,,,,,,27.75,22.79,18.53,19.47,16.22,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Grove House, now Fentoan House, where the observer, Henry Sharpe lived.",,,,,,,,,,,,,,,,,,,,
"Stated altitudes differ and are low and the gauge may be located 100 to 200m further N, and the higher gauge might be on a roof.",,,,,,,,,,,,,,,,,,,,
600m from HAMPSTEAD-THE-PRYORS,,,,,,,,,,,,,,,,,,,,
