"WHATSTANDWELL PUMPING STATION, MEERBROOK",,,,,,,,,,,,
Grid ref,SK326550,Long,-1.514672,Lat,53.091221,,,,,,,
Station no,2667,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.61,1.79,,,,1.51,,
February,,,,,4.99,1.36,,,,1.34,,
March,,,,,1.89,4.74,,,,4.42,,
April,,,,,2.14,1.44,,,,1.93,,
May,,,,,1.35,0.42,,,,2.02,,
June,,,,,0.58,2.49,,,,3.75,,
July,,,,,2.43,1.60,,,,4.15,,
August,,,,,3.71,3.76,,,,3.17,,
September,,,,,1.05,1.36,,,,2.22,,
October,,,,,0.54,1.65,,,,5.68,,
November,,,,,2.17,4.04,,,,0.85,,
December,,,,,0.97,0.66,,,,7.31,,
Total,,,,,25.43,25.31,,,,38.35,,
Calc annual,0.00,0.00,0.00,0.00,25.43,25.31,0.00,0.00,0.00,38.35,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,0.00,,
