AMERSHAM-WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU961970,Long,-0.611956,Lat,51.663573,Elevation,292,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1015/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.51,2.12,0.86,4.9,5.29,4.09,5.75,2.77,2.92,3.64,4.98,2.19,2.17,3.05,2.21,6.14,1.13,0.89,4.73,2.28,0.95,0.89,2.71,4.54,1.94,3.33,3.66,3.32
February,,,2.75,0.2,2.69,2.56,5.29,0.7,1.24,2.51,2.58,1.02,1.69,1.47,2.4,2.79,1.73,1.31,1.64,4.95,5.92,0.87,2.22,2.53,1.98,0.33,3.69,3.26,0.05,3.1
March,,,3.39,2.84,0.69,1.52,4.25,0.36,2,2.84,2.82,2.02,0.48,0.31,0.76,1.44,7,0.82,2,1.13,4.33,3.08,0.5,2.77,1.31,0.77,1.7,1.57,2.58,1.38
April,,,1.29,2.28,4.65,1.73,2.94,0.15,3.19,1.96,2.36,1.49,0.95,2.13,1.58,1.73,2.3,1.57,1.69,2.32,3.56,2.26,2.46,0.54,0.56,1.41,0.22,1.55,2.53,0.99
May,,,1.59,0.59,0.86,0.49,3.92,1.93,1.54,1.37,1.75,3.58,2.57,1.13,2.3,4.07,1.69,3.04,2.42,1.85,2.72,2.3,2.2,3.97,5.3,0.22,1.6,3.01,0.92,2.22
June,,,1.84,0.82,4.68,3.74,2.06,0.86,1.67,0.74,1.77,0.39,1.62,1.78,2.69,2.57,2.84,2.52,0.54,1.44,1.49,1.21,1.75,3.92,2.45,2.24,1.23,4.27,1.41,2.2
July,,,1.49,1.09,0.44,5.1,1.19,1.74,2.39,1.95,4.88,1.88,1.71,1.95,2.55,1.74,1.77,1.44,1.19,5.82,1.51,0.58,3.87,2.71,0.57,4.3,3.14,3.02,3.31,3.37
August,,,0.76,2.28,2.01,0.49,1.39,2.7,2.58,0.06,4.34,2.83,2.28,2.89,1.19,4.95,0.33,2.65,1.35,3.17,4.24,3.97,2.36,3.57,0.71,5,2.19,2.76,1.82,2.8
September,,,2.03,2.28,5.29,3.94,3.1,1.42,0.68,1.52,0.43,1.51,1.85,3.32,2.39,4.52,1.39,2.67,1.38,3.78,3.83,3.62,2.2,2.28,2.01,2.93,3.21,5.69,0.06,4.79
October,,,1.79,2.07,3.73,1.89,2.99,3.7,4.24,3.67,0.84,3.78,3.58,4.07,3.25,1.14,0.18,2.49,6.9,0.61,0.87,3.5,3.06,2.31,3.32,2.15,2.4,3.41,2.36,6.63
November,,,1.08,2.14,5.45,3.6,1.67,3.85,5.84,8.39,2.92,1.71,1.72,5.05,0.27,6.52,1.41,1.96,3.12,5.66,6.7,3.75,1.72,5.07,1.97,0.61,2.23,2.6,2.19,4.6
December,,,0.52,7.53,3.73,3.05,3.76,3.73,1.66,1.65,2.32,3.49,1.95,1.85,3.26,2.64,2.64,4.08,1.97,1.87,2.09,3.42,0.62,2.73,2.82,4.38,2.61,3.62,5.46,3.51
Total,,,21.04,26.24,35.08,33.01,37.85,25.23,32.78,29.43,29.93,27.34,25.38,28.14,24.81,37.16,25.49,30.69,25.33,33.49,41.99,30.84,23.91,33.29,25.71,28.88,26.16,38.09,26.35,38.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Mar IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
