SUNDERLAND WILLOW BANK LODGE,,,,,,,,,,
Grid ref,NZ393554,Long,-1.3888255,Lat,54.891802,Elevation,107,ft,,
Station no,RR8851,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,1.6,2,4.6,,,,
February,,,,2.57,2.53,1.63,,,,
March,,,,0.8,0.77,2.27,,,,
April,,,1.22,0.62,0.96,1.62,,,,
May,,,1.96,1.44,2.82,1.02,,,,
June,,,3.27,1.1,4.18,1.99,,,,
July,,,1.68,3.83,3.08,6.48,,,,
August,,,4.4,2.94,3.28,4.22,,,,
September,,,2.94,1.65,1.14,0.5,,,,
October,,,5.35,0.95,4.8,5.6,,,,
November,,,1.55,3.07,0.65,2.23,,,,
December,,,1.66,1.61,1.59,1.96,,,,
Total,,,,22.18,27.8,34.12,,,,
