"PERTH, HUNTINGTOWER FIELD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 073 257,Long,-3.503742,Lat,56.414774,Elevation,62,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,,-999,2.7,4.1,4,2.1,4.1,2.2,,1.5,5.1,0.8,1.7,1.1,4.4,2,1.1,1.2,1.7,
February,,,,,,,,,,,,-999,3.3,3.5,3.8,3.4,1.1,1.8,2.8,1.6,1.2,0.2,1.4,3,7.4,0.5,1.7,1.5,0.8,
March,,,,,,,,,,,,1.4,2,1.7,2.6,2.5,3.3,2.2,3.2,0.9,2.4,2.2,0.8,0.7,2.1,1.8,1.6,4.3,0.5,
April,,,,,,,,,,,,0.2,3.1,1.3,0.8,1.5,0.8,1.1,1.5,3.4,0.5,1.6,0.3,0.7,1.3,1.2,1.1,1,3.5,
May,,,,,,,,,,,,2.2,1.8,2.8,2.4,3.5,3.3,0.3,2.1,3.8,1.7,2.3,2.9,0.6,2.4,0.7,0.2,1.4,2.8,
June,,,,,,,,,,,,2.4,3.3,1.3,0.1,0.4,0.7,0.3,3.6,0.3,2.5,0.2,2.9,3,2.5,1.3,3.7,4.5,2.2,
July,,,,,,,,,,,,3.6,4,5.1,5.1,0.7,3.6,1,5.6,2.2,3.1,2.8,1.4,2.4,3.5,4.4,3.8,1,0.3,
August,,,,,,,,,,,,3.8,1.2,4.6,2.1,3.1,1.1,2.9,1.9,4.7,2.1,4.6,6.2,2.5,5.3,5.6,1.9,3.3,2.8,
September,,,,,,,,,,,,3.2,3.2,2.9,1,3.8,2.4,4.3,0.6,0.7,3.1,2.3,2.3,1.4,0.3,0.8,4.1,2.2,2.7,
October,,,,,,,,,,,,4.3,4.4,2.9,3.1,1.7,4.2,0.7,2.7,2.9,1.8,2.5,4.9,2.7,3.3,1.9,2.9,1.9,4.8,
November,,,,,,,,,,,,4.2,4.7,2.8,2.7,2.1,1.8,3.1,6.1,0.8,4.9,3.6,2,1.4,1.6,4.1,1.5,2.1,4.3,
December,,,,,,,,,,,,1.5,4.4,2.7,4.2,2,2.6,0.6,2.7,1.5,2.1,4.8,1.3,2.9,2.7,4.2,4.5,3.7,3.4,
Total,,,,,,,,,,33.7,25.5,31.2,38.1,35.7,31.9,26.8,29,20.5,32.8,24.3,30.5,27.9,28.1,22.4,36.8,28.5,28.1,28.1,29.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracketed figure Jan Feb 1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
