BERRIEW-VAYNOR-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ172000,Long,-3.2237038,Lat,52.591468,Elevation,650,ft.,,,,,,,,,,,,
Station no,4250/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.82,4.63,6.05,3.09,3.72,3.23,4.64,3.46,3.34,3.74,2.03,7.59,1.3,
February,,,,,,,4.6,1.01,2.5,2.58,2.86,0.78,2.01,1.93,3.29,4.78,1.66,2.37,1.08,
March,,,,,,,1.61,0.44,1.81,2.4,2.57,2.27,0.86,0.32,0.96,1.28,7.43,1.39,1.31,
April,,,,,,,1.76,0.13,2.06,2.94,1.3,1.27,1.1,0.96,2.16,1.14,2.02,1.59,3.13,
May,,,,,,,1.31,2.44,1.32,2.64,2.48,3.51,2.58,2.3,3.33,1.83,2.58,2.06,2.56,
June,,,,,,,0.98,2.31,1.5,1.68,1.77,0.65,2.84,2.08,3.61,2.33,1.76,2.99,0.68,
July,,,,,,,1.94,3.5,6.45,3.17,2.05,3.1,1.96,1.81,1.21,1.99,2.29,1.89,1.16,
August,,,,,,,3.18,3.21,1.36,0.24,3.45,1.86,3.62,2.83,3.97,5.45,0.57,3.63,1.76,
September,,,,,,,1.56,0.92,0.46,1.91,0.94,1.77,3.99,3.46,2.01,4.42,2.04,2.8,1.67,
October,,,,,,,2.98,4.9,1.82,4.25,2.96,2.01,3.68,4.38,4.46,1.58,0.44,2.48,5.1,
November,,,,,,,1.5,4.79,5.99,8.39,2.13,0.65,2.37,4.77,0.64,5.05,3.48,2.05,4.67,
December,,,,,,,2.46,2.94,2.1,2.29,1.66,3.96,1.67,2.47,3.88,2.94,3.82,4.47,4.85,
Total,,,,,,,27.7,31.22,33.42,35.58,27.89,25.06,31.32,30.77,32.86,36.53,30.12,35.31,29.27,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is on Vaynor Park. Altitudes match. Gauge is some distance from the main hall.,,,,,,,,,,,,,,,,,,,,
