"MARYKIRK, BALMAKEWAN NO1",,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 66757 66444,Long,-2.545752,Lat,56.788355,Elevation,120,ft,,,,,,,,,,,,,
Station no,5612,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.92,5.45,2.08,3.42,1.9,4.93,1.9,4.74,1.81,2.69,3.85,2.02,2.43,1.69,1.06,5.07,,,,
February,,0.51,2.2,7.68,1.54,4.07,5.16,1.89,1.34,3.11,1.52,1.91,0.14,2.71,0.1,2.14,3.44,,,,
March,,2.44,2.03,1.76,0.61,1.36,0.56,2.25,4.76,0.13,1.33,1.22,2.86,2.06,2.84,2.03,1.97,,,,
April,,1.29,2.02,2.76,1.86,3.22,2.15,1.56,1.45,1.22,2.56,2.2,3.21,1.39,5.71,4.36,0.45,,,,
May,,1.97,0.58,3.16,3.8,3.47,2.51,2.65,1.2,2.27,1.52,2.93,3.11,1.19,2.67,1.29,1.26,,,,
June,,0.8,1.85,0.46,1.3,0.77,2.73,3.47,3.01,1.74,2.25,4.26,0.98,1.23,0.91,3.11,1.23,,,,
July,,1.75,2.73,1.3,4.77,2.66,2.58,1.82,1.9,3.09,1.8,4.4,3.59,2.47,2.69,1.65,5.48,,,,
August,,2.06,1.74,5.07,2.65,2.26,2.02,3.56,4.94,4.91,6.32,1.56,0.98,0.89,2.99,2.33,,,,,
September,,1.21,3.31,2.73,4.02,3.08,3.93,5.3,2.47,0.51,5.37,1.22,1.93,2.06,3.33,4.54,,,,,
October,,1.57,1.31,2.78,4.76,2.09,5.64,5.13,3.28,2.77,2.9,0.89,6.67,3.32,3.33,4.52,,,,,
November,,3.51,1.65,2.67,2.46,1.49,5.93,3.05,2.93,3.97,3.91,6.39,1.44,3.13,1.08,5.56,,,,,
December,,1.46,1.88,3.47,3.74,2.39,0.27,3.77,3.11,6.68,4.63,1.46,2.41,2.01,5.89,3.12,,,,,
Total,,20.49,26.75,35.92,34.93,28.76,38.41,36.35,35.13,32.21,36.8,32.29,29.34,24.89,33.23,35.71,,,,,
,,,,,,,,,,,,,,,,,,,,,
Located at Balmakewan House,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5612,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
