BALMAKEWAN (NO2),,,,,,,,,,,,,,,,,,,,,
Grid ref,NO6660267753,Long,-2.54845,Lat,56.8001,Elevation,100,ft,,,,,,,,,,,,,
Station no,5613,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.28,2.77,2,,1.85,5,1.82,2.51,3.82,1.84,2.3,1.67,0.96,5.24,,,,
February,,,,6.58,1.6,4.16,,1.99,1.52,3.02,1.55,1.98,0.16,2.48,0.07,2.07,3.45,,,,
March,,,,1.65,0.65,1.47,,2.33,4.6,0.15,1.36,1.09,2.98,2.13,2.96,1.92,1.89,,,,
April,,,,2.82,1.73,3.14,,1.62,1.53,1.41,2.56,2.19,3.21,1.39,5.85,4.45,0.48,,,,
May,,,,3.19,4.05,3.63,,2.77,1.27,2.28,1.7,3.08,3.18,1.11,2.68,1.36,1.21,,,,
June,,,,0.64,1.58,0.8,,3.47,2.84,1.64,2.4,4.13,1,1.22,0.88,3.01,1.23,,,,
July,,,,1.21,4.84,2.6,,1.92,2,3.04,1.89,4.15,3.69,2.44,2.93,1.66,5.39,,,,
August,,,,5.31,3.05,2.41,,3.24,5.3,4.98,6.19,1.91,1,0.89,3.02,2.08,,,,,
September,,,,2.86,4.37,3.32,,5.64,2.5,0.62,5.7,1.37,2.01,1.86,3.38,4.55,,,,,
October,,,,3.22,4.7,2.18,,5.39,3.3,2.96,2.83,0.99,6.57,3.6,3.27,4.76,,,,,
November,,,,2.86,2.43,1.46,,3.02,2.81,3.72,3.59,6.09,1.47,3.07,1.15,5.57,,,,,
December,,,,3.51,3.69,2.15,,3.43,2.97,6.48,3.63,1.48,2.32,1.96,5.53,3.06,,,,,
Total,,,,36.13,35.46,29.32,,36.67,35.64,32.12,35.91,32.28,29.43,24.45,33.39,35.45,,,,,
,,,,,,,,,,,,,,,,,,,,,
Location based on Mains of Luther,,,,,,,,,,,,,,,,,,,,,
G about 1 mile from Balmakewan No 1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5613,,,,,,,,,,,,,,,,,,,,
Midas,55696,only runs 1930 -36,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,
