BURY-ST-EDMUNDS-BEECH-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,TL845637,Long,0.7007819,Lat,52.24056,Elevation,160,ft,,,,,,,,,,,,
Station no,RR4029,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,1.23,1.88,2.11,0.77,2.72,2.55,3.17,2.8,2.65,1.03,1.13,3.21,2.31,1.07,2.31,1.47,,,
February,,3.52,0.42,0.5,1.33,2.02,4.13,1.83,2.03,2.92,0.85,2.52,1.22,2.05,0.75,1.1,3.01,,,
March,,2.63,2.59,1.03,2.86,1.89,1.96,1.73,2.47,1.73,1.7,1.61,2.62,1.89,0.89,0.39,1.87,,,
April,,0.9,1.87,1.01,0.59,0.46,2.8,3.39,1.79,1.36,0.71,3.35,2.21,1.32,0.77,1.37,2.48,,,
May,,1.33,2.64,1.19,2.74,1.59,2.09,3.43,0.79,3.5,0.66,1.38,2.4,2.28,0.6,2.49,0.86,,,
June,,2.16,3.19,3.03,1.18,1.35,3.64,0.95,1.5,1.78,0.78,3,2.23,2.53,1.81,4.02,2.11,,,
July,2.89,2.68,1.87,1.51,0.86,5.58,2.75,6.53,0.2,0.75,2.23,3.15,6.46,2.31,1.4,5.08,1.33,,,
August,4.58,0.84,3.08,2.24,0.99,4.18,3.1,1.73,1.85,2.39,1.81,0.36,2.86,2.32,1.18,0.39,2.03,,,
September,2.66,1.24,1.69,3.16,2.22,0.23,3.7,3.12,1.85,4.01,1.63,4.43,2.09,3.28,3.11,2.87,4.76,,,
October,1.5,1.08,3.6,3.12,1.28,7.55,0.57,2.69,3.22,2.22,3.47,1.36,3.95,2.94,2.01,4.52,,,,
November,2.33,3.54,1.5,2.6,2.97,2.08,3.72,1.26,1.34,2.33,1.31,1.82,4.12,1.89,2.33,5.1,,,,
December,2.68,1.17,2.02,1.23,0.59,1.27,3.61,2.93,4.61,4.35,4.2,1.33,4.24,0.75,2.26,1.62,,,,
Total,,22.32,26.35,22.73,18.38,30.92,34.62,32.76,24.45,29.99,20.38,25.44,37.61,25.87,18.18,31.26,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elev from map,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1866 Feb IDR,,,,,,,,,,,,,,,,,,,,
1873 Jun IDR,,,,,,,,,,,,,,,,,,,,
