KESTON-HEATHFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ415642,Long,0.030923725,Lat,51.359254,Elevation,420,ft,,,,,,,,,,,,
Station no,RR6914,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,2.06,2.08,2.49,,2.01,1.03,1.39,3.08,2.52,0.57,2.11,,,,,,
February,,,,3.78,1.79,3.23,,0.64,1.27,2.37,1.07,0.09,1.75,3.78,,,,,,
March,,,,0.86,1.63,1.89,,2.05,3.51,2.6,2.78,2.09,1.83,,,,,,,
April,,,,1.5,1.69,2.36,,1.96,2.03,3.03,2.21,0.67,1.08,,,,,,,
May,,,,2.17,0.61,3.48,,1.86,1.04,2.39,1.58,3.24,1.02,,,,,,,
June,,,,1.73,2.26,1.16,,1.12,3.56,2.82,2.61,1.64,4.02,,,,,,,
July,,,,2.56,1.48,0.29,,0.95,6.69,2.92,4.36,4.82,2.61,,,,,,,
August,,,,0.84,1.25,2.21,,2.5,3.12,2.52,2.52,4.96,3.9,,,,,,,
September,,,,3.33,2.54,4.86,,2.32,0.99,1.19,0.83,1.06,2.12,,,,,,,
October,,,,1.79,1.23,4.07,,1.8,1.63,4.8,1.34,7.11,4.97,,,,,,,
November,,,,3.63,1.41,3.24,,5.27,4.49,1.09,2.6,2.98,2.88,,,,,,,
December,,,,0.75,2.53,1.57,,1.78,1.96,1.84,0.86,4.14,1.61,,,,,,,
Total,,,,25,20.5,30.85,,24.26,31.32,28.96,25.84,35.32,28.36,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note that there are 9 values which appear to duplicate those of the other gauge at this site.,,,,,,,,,,,,,,,,,,,,
