KESTON-HEATHFIELD (MONTHLY GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ415642,Long,0.030923725,Lat,51.359254,Elevation,420,ft,,,,,,,,,,,,
Station no,RR6914,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,2.48,,1.91,0.94,1.32,3.02,2.57,0.55,,,,,,,
February,,,,,,3.14,,0.56,1.24,2.59,1.01,0.09,1.78,,,,,,,
March,,,,,,1.78,,2.05,3.46,2.54,2.78,2.21,1.92,,,,,,,
April,,,,,,2.33,,1.97,2.01,2.95,2.2,0.67,1.21,,,,,,,
May,,,,,,3.37,,1.89,1.02,2.39,1.6,3.27,1.03,,,,,,,
June,,,,,,1.09,,1.1,3.54,2.95,2.56,1.65,4.24,,,,,,,
July,,,,,,0.26,,1.01,6.66,2.98,4.37,4.99,2.74,,,,,,,
August,,,,,,2.28,,2.5,3.05,2.68,2.55,5.06,3.99,,,,,,,
September,,,,,,5.03,,2.28,0.91,1.19,0.86,0.98,2.2,,,,,,,
October,,,,,,3.94,,1.77,1.56,4.78,1.38,7.29,5.16,,,,,,,
November,,,,,,3.35,,5.24,4.42,1.09,2.5,3.06,2.98,,,,,,,
December,,,,,,1.49,,1.74,1.78,1.74,0.82,4.41,1.61,,,,,,,
Total,,,,,,30.54,,24.02,30.59,29.2,25.65,36.25,29.41,,,,,,,
