WISBOROUGH-GREEN-LOWFOLD (HAWKHURST COURT),,,,,,,,,,
Grid ref,TQ026232,Long,-0.53924223,Lat,50.999055,Elevation,120,ft,,
Station no,RR6763,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,0.74,3.03,4.76,,,,,
February,,,1.57,1.93,4.4,,,,,
March,,,2,3.37,0.8,,,,,
April,,,2.15,1.04,1.07,,,,,
May,,,2.29,2.99,2.82,,,,,
June,,,2.76,3.43,1.26,,,,,
July,,,1.3,2.76,0.31,,,,,
August,,,3.1,4.18,1.87,,,,,
September,,,2.01,3.29,2,,,,,
October,,,2.61,7.91,2.5,,,,,
November,,,3.49,1.95,1.17,,,,,
December,,,1.78,2.48,3.37,,,,,
Total,,,25.8,38.36,26.33,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1905 Gauge moved,,,,,,,,,,
