BILLINGSHURST HAWKHURST COURT,,,,,,,,,,,,
Grid ref,TQ026232,Long,-0.539242,Lat,50.999055,,,,,,,
Station no,RR6763,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.74,3.03,4.76,1.35,6.11,1.68,1.41,0.97,,
February,,,1.57,1.93,4.40,0.60,2.65,1.19,0.87,0.22,,
March,,,2.00,3.37,0.80,3.55,1.33,0.45,3.00,2.86,,
April,,,2.15,1.04,1.07,1.39,0.56,3.64,1.91,1.32,,
May,,,2.29,2.99,2.82,0.60,3.07,2.06,1.94,1.77,,
June,,,2.76,3.43,1.26,4.13,1.49,1.76,2.13,2.47,,
July,,,1.30,2.76,0.31,1.14,0.55,1.00,1.75,2.27,,
August,,,3.10,4.18,1.87,1.45,0.49,1.58,4.06,1.93,,
September,,,2.01,3.29,2.00,1.96,1.37,0.36,2.69,3.33,,
October,,,2.61,7.91,2.50,1.25,3.88,5.91,2.17,6.04,,
November,,,3.49,1.95,1.17,5.50,5.25,2.58,1.07,0.95,,
December,,,1.78,2.48,3.37,0.72,1.45,3.10,3.70,4.49,,
Total,,,25.80,38.36,26.33,23.64,28.20,25.31,26.70,28.62,,
Calc annual,0.00,0.00,25.80,38.36,26.33,23.64,28.20,25.31,26.70,28.62,,
Difference,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
