PETERSFIELD-COLLYERS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU734246,Long,-0.95394,Lat,51.01649,Elevation,350,ft,,,,,,,,,,,,
Station no,731/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.98,7.7,8.69,4.89,6.04,3.08,3.48,4.51,7.06,2.67,2.45,3.66,,,,
February,,,,,5.14,3.23,6.53,0.74,2.07,4.79,4.8,0.96,1.96,0.8,2.84,2.89,,,,
March,,,,,0.93,2.48,4.87,0.53,1.69,3.75,3.95,2.97,0.77,0.37,0.92,1.5,,,,
April,,,,,4.25,2.83,3.98,0.07,2.57,1.61,2.49,2.35,1.08,1.6,1.33,2.52,,,,
May,,,,,0.95,0.55,3.44,1.9,1.6,0.82,3.11,3.75,4.01,1,2.23,3.6,,,,
June,,,,,3.36,3.2,1.24,0.94,1.72,0.25,2.79,0.28,1.61,2.46,2.58,,,,,
July,,,,,0.76,4.51,1.28,3.58,3.75,2.77,2.84,1.74,2.4,2.05,3.72,,,,,
August,,,,,2.92,1.5,1.34,1.43,2.05,0.1,5.73,3.77,2.04,1.59,1.78,,,,,
September,,,,,5.03,2.86,2.52,2.18,1.01,1.72,0.19,2.19,1.62,2.63,2,,,,,
October,,,,,6.03,1.52,3.76,4.34,6.06,4.81,1.36,3.36,3.38,5.12,3.57,,,,,
November,,,,,9.62,4.68,3.23,5.93,7.3,9.73,3.83,2.13,2.81,6.13,1.16,,,,,
December,,,,,5,3.95,4.64,4.3,2.64,2.42,2.83,4.67,2.71,3.1,5.16,,,,,
Total,,,,,44.97,39.01,45.52,30.83,38.5,35.85,37.4,32.68,31.45,29.52,29.74,,,,,
,,,,,,,,,,,,,,,,,,,,
1946 Terminated Observer moved to Ventnor Stn No 590/6,,,,,,,,,,,,,,,,,,,,
