MANCHESTER ST BEDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ832950,Long,-2.2544405,Lat,53.451488,Elevation,95,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,3.4,1.83,,,,,,,,,,,3.01,,,,,,,,,
February,,,,,,,,,1.33,3.16,,,,,,,,,,,0.45,,,,,,,,,
March,,,,,,,,,1.57,1.95,,,,,,,,,,,2.7,,,,,,,,,
April,,,,,,,,,1.72,2.21,,,,,,,,,,,0.59,,,,,,,,,
May,,,,,,,,,4.79,2.21,,,,,,,,,,,2.33,,,,,,,,,
June,,,,,,,,,2.55,4.97,,,,,,,,,,,3.24,,,,,,,,,
July,,,,,,,,,1.28,4.47,,,,,,,,,,,3.12,,,,,,,,,
August,,,,,,,,,4.94,5.84,,,,,,,,,,,4.07,,,,,,,,,
September,,,,,,,,,4.55,3.76,,,,,,,,,,,1.02,,,,,,,,,
October,,,,,,,,,,2.44,,,,,,,,,,,2.16,,,,,,,,,
November,,,,,,,,,2.36,1.1,,,,,,,,,,,4.7,,,,,,,,,
December,,,,,,,,,1.69,2.54,,,,,,,,,,,0.46,,,,,,,,,
Total,,,,,,,,,,36.48,,,,,,,,,,,27.85,,,,,,,,,
