MANCHESTER ALEXANDRA PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ837949,Long,-2.2469064,Lat,53.450605,Elevation,100,ft,,,,,,,,,,,,
Station no,RR7034,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,3.09,2.27,3.58,1.43,2.15,2.64,1.01,1.43,1.71,3.56,4.21,1.71,2.38,2.61,2.57,2,,,,
February,0.44,0.22,2.33,3.41,4.16,0.32,1.75,1.93,2.16,1.09,2.78,1.51,1.02,2.38,2.73,1.56,,,,
March,2.62,1.67,1.29,0.46,2.57,2.75,3.87,2.15,1.1,1.53,0.76,1.95,1.58,3.58,1.81,3.3,,,,
April,0.6,2.05,1.21,0.72,1.61,1.7,1.87,2.3,1.76,2.51,2.11,2.11,1.9,1.74,2.03,,,,,
May,2.13,2.11,3.05,1.72,1.99,0.58,0.53,1.94,2.91,2.56,1.57,0.82,3.74,3.01,2.14,,,,,
June,3.31,2.76,3.9,1.41,3.2,2.19,3.19,3.51,2.62,2.04,3.22,1.69,1.13,1.91,0.62,,,,,
July,3.06,2.11,3.07,3.21,3.12,3.58,1.47,1.5,0.78,1.22,2.81,3.69,1.86,3.13,1.36,,,,,
August,3.98,5.37,4,2.37,3.9,3.08,2.72,2.48,6.02,1.35,4.45,1.38,3.26,3.77,4.23,,,,,
September,0.88,3.26,3.18,3.2,1.11,1.51,5.54,4.05,0.54,4.82,1.3,0.77,0.79,4.72,1.34,,,,,
October,2.28,4.1,4,2.6,3.71,2.74,4.54,1.9,3.75,2.99,3.89,2.92,4.11,6.2,1.13,,,,,
November,4.77,2.23,2.37,2.01,1.99,2.57,1.12,4.51,1.91,1.27,1.92,3.31,1.66,3.3,2.19,,,,,
December,0.38,5.52,2.71,3.15,2.86,3.47,3.42,3.5,3.24,3.19,3.85,4.29,2.22,1.04,2.63,,,,,
Total,27.54,33.67,34.69,25.69,32.37,27.13,31.03,31.2,28.5,28.13,32.87,26.15,25.65,37.39,24.78,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge 3' from ground,,,,,,,,,,,,,,,,,,,,
120 ' elevation in 1896 but no mention of gauge move,,,,,,,,,,,,,,,,,,,,
