"MANCHESTER, ST BEDE'S COLLEGE ALEXANDRA PARK",,,,,,,,,,
Grid ref,SJ832950,Long,-2.2544405,Lat,53.451488,Elevation,175,ft,,
Station no,RR7034,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.47,1.62,4.02,4.05,1.95,3.83,1.95,1.27,
February,,4.4,2.28,1.69,2.15,2.49,0.55,0.47,0.89,
March,,2.93,1.86,1.26,2.67,1.96,2.06,1.27,1.29,
April,,1.25,2.24,1.78,1.56,2.65,1.53,1.37,1.47,
May,,3.15,1.63,0.73,1.48,1.84,4.53,2.01,0.98,
June,,1.36,6.52,3.74,0.86,1.96,1.57,1.03,2.93,
July,,2.55,4.97,2.92,,0.54,3.2,0.99,,
August,,5.04,2.79,3.53,,,1.94,1.16,,
September,,2.34,2.92,4.91,,3.5,3.29,3.63,1.35,
October,,2.31,3.05,4.73,2.64,5.88,5.06,1.72,1.61,
November,,2.57,4.35,2.82,1.28,3.33,2.13,1.05,3.67,
December,,3.7,4.2,2.53,5.06,1.55,3.45,1.94,2.08,
Total,,32.07,38.43,34.66,,,33.14,18.59,,
,,,,,,,,,,
Gauge moved during 1880 and placed on a tower,,,,,,,,,,
1880 data removed as not clear when gauge was moved,,,,,,,,,,
