"KINGS HEATH BRANDWOOD HOUSE",,,,,,,,,,,,
Grid ref,SP066802,Long,-1.904380,Lat,52.419754,,,,,,,
Station no,RR4697,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.92,1.37,1.10,2.37,3.51,1.16,4.04,0.95,0.84,1.28,,
February,4.81,1.78,1.81,1.43,3.88,0.71,2.02,1.13,1.32,0.74,,
March,0.69,2.11,1.68,4.92,1.72,3.75,1.48,0.75,3.15,3.64,,
April,1.26,2.13,2.61,1.66,1.26,2.38,1.44,1.86,2.56,2.10,,
May,1.97,1.41,2.62,3.55,2.67,0.35,2.75,3.81,2.88,1.79,,
June,2.74,2.51,2.38,1.91,0.46,3.13,2.57,3.06,2.75,3.55,,
July,1.86,2.91,1.45,2.36,2.56,1.09,1.11,2.18,2.33,3.56,,
August,3.29,2.29,5.23,4.47,1.99,4.63,1.05,2.78,2.82,2.00,,
September,0.85,1.44,1.84,3.02,2.09,1.49,1.10,0.64,2.13,3.57,,
October,3.11,2.22,2.54,6.59,0.58,1.50,5.08,5.94,2.01,3.97,,
November,2.75,1.23,2.54,1.79,1.42,2.79,3.27,2.14,2.17,0.99,,
December,4.81,5.34,1.96,1.81,2.27,0.85,1.76,3.60,2.24,4.83,,
Total,32.06,26.74,27.76,35.88,24.41,23.83,27.67,28.84,27.20,32.02,,
Calc annual,32.06,26.74,27.76,35.88,24.41,23.83,27.67,28.84,27.20,32.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
