CALEDON GLEBE,,,,,,,,,,,,,,,,,,,,
Grid ref,IH761466,Long,-6.82989,Lat,54.36279,Elevation,125,ft,,,,,,,,,,,,
Station no,RR6268,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.47,4.7,3.45,1.72,0.92,,,,,,,,,
February,,,,,,,3.75,2.77,1.78,1.82,1.9,,,,,,,,,
March,,,,,,,3.22,2.91,1.37,2.23,2.14,,,,,,,,,
April,,,,,,,2.27,2.04,1.45,2,3.76,,,,,,,,,
May,,,,,,,0.45,2.29,4.11,3.08,1.07,,,,,,,,,
June,,,,,,,1.89,3.33,3.23,4.37,2.94,,,,,,,,,
July,,,,,,,1.98,2.59,0.12,3.92,5.8,,,,,,,,,
August,,,,,,,2.61,2.82,4.07,2.57,1.27,,,,,,,,,
September,,,,,,,3.35,2.06,4,4.45,2.74,,,,,,,,,
October,,,,,,,4.03,3.43,2.72,1.58,0.89,,,,,,,,,
November,,,,,,,2.8,3.4,1.62,1.2,3.18,,,,,,,,,
December,,,,,,,7.64,2.88,2.04,1.45,2.47,,,,,,,,,
Total,,,,,,,35.46,35.22,29.96,30.39,29.08,,,,,,,,,
