HOLMFIRTH BOSHAW WHAMS RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE151058,Long,-1.773576,Lat,53.54862,Elevation,930,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.9,,1.9,2.1,6.9,2.1,3.8,6.8,2.3,4.1,2.8,1.1,2.8,8.3,2.6,3.1,5.1,0.9,5.7,3.3,0.8,0.3,0.3,5.2,7.9,9.6,4.7,6.9,2.8,2.6,3.4,7.3,5.7,5.8,1.3,6.2,4.5,2.7,2.8,4.1,9,7.7,3.9,4.6,5.4,5.7,3,6.3,3.2,4.6,3,7.5,2.6,6.3,5.9,4.8,9.4,5.8,2.1,5.7,6.7,6,6.5,4,3.1,3.3,6.7,6.2,3.9,10.2,2.1,7.4,4.8,5.4,4.2,3.5,3.2,4.61,6.61,7.5,6.44,4,3.7,4.6,6.5,8.7,5,4.32,4.4,10.12,1.98,3.2,4.55,3.7,1.94,3.64,3.45,6.61,3.35,4,4.02,7.1,,
February,,,,,,,,,,3.5,,4.4,3.4,1.7,1.8,3.6,4.9,5.2,3.9,5.6,4,3.1,4.1,0.5,0.7,0.7,4.7,1.9,1.3,2.5,3.6,3.4,3.4,3.5,3.2,6.2,2.1,1.4,1.6,4,0.9,0.5,4.7,8.8,12.1,1,2.4,4.7,4.9,1.9,6.3,2.1,1.1,6.5,7.6,3.5,5.1,3.9,5.2,1.5,4.6,6,2.4,2.1,4.1,6,9.1,2.4,8.7,3.1,5.4,0.2,4.1,3.9,2.4,6.7,3.9,1.6,7.1,0.5,0.94,6.1,0.55,5.2,0.18,7.78,3.34,6.75,2.47,4.9,2.5,6,1.75,3.71,2.17,6,5.28,4.48,3.16,3.2,8.2,4.65,1.12,2.65,4.32,2.63,1.64,4.57,6.07,0.19,2.79,,
March,,,,,,,,,,5.5,,6.7,7.9,1.2,3.2,1.3,2.4,3.1,4.7,1.8,2.8,1.5,2.7,1.5,3.5,0.5,3.8,2.6,2.3,2,3.1,3.6,4.6,1.2,3.4,3.6,4.2,3,5.6,4.3,5.1,3.8,1.8,1.6,5.9,4,7.5,6.9,3.1,3.6,1.4,5.9,3.6,8.2,3.3,5.2,5.1,3.6,4.1,4.3,1,3.4,4.5,8.7,6.5,2.1,7.5,2.5,1.4,7.4,4.2,4.5,3.8,3.2,0.7,1.8,2.2,4.8,4,1.1,3,0.5,3.2,2.6,4.15,2,4.05,4.34,0.78,4.61,3.63,6.2,2.75,2.42,0.25,1.2,2.42,7.3,1.67,1.15,2.95,6.35,2.15,3.06,2.46,3.3,1.95,3.08,2.57,1.7,2.59,,
April,,,,,,,,,,5.6,,3.3,3.9,1.4,1.8,1.2,1.7,4.1,3.1,1.6,0.8,3.4,3.4,0.3,1.4,1.4,2,2.5,1.3,3,1.7,1.3,4.8,2.8,2.7,2.1,4.8,1.5,4.5,4.2,1.9,3,2,0.7,3.5,3.4,2.6,5.2,3.9,3.9,3.2,2.5,3.1,2.5,3.9,3.5,1.2,3.8,2.8,3.1,5,3.1,1.7,5.5,1.3,1.8,4,3.5,1.5,2,6.5,1.3,4.8,3.3,2.8,3.4,3.2,4.2,2.3,1.9,3.1,5.3,5.25,1.8,3,3.65,1.61,2.79,0.25,1.7,4,3.4,2.15,3.2,3.55,4,2.3,4.3,2.72,4.39,4.77,3.18,2.61,4.27,0.7,1.73,2.69,0.34,1.56,6,2.86,,
May,,,,,,,,,,0.5,,1.5,4.6,2.6,1.9,2.5,2.5,1.9,0.9,4.1,1,2.2,2.5,1.5,1.5,2.5,0.9,4.7,3.9,1.9,1.7,4.5,1.4,1.8,3.5,3,6.9,3.3,1.2,3.8,4.6,4,5.3,2.4,1.9,0.7,0.4,1.3,4.4,3.6,1.9,1.3,3.2,4,3.8,0.5,3.6,5.3,3.1,1.8,4.5,1.5,4.3,2.5,3,1.4,2.5,2.4,2.5,2.2,5.2,2.1,1.2,4.8,5.5,4.7,4.2,1.8,2.2,3.5,1.9,2.9,5.8,1.8,2.5,0.5,1.52,3.34,4.05,3,1.38,3.45,3.83,3.2,3.56,3.61,3.01,3.52,1.5,2.27,3.03,4.84,2.66,2.68,4.4,5.87,1.25,1.66,4.22,1.37,2.45,,
June,,,,,,,,,,3.8,,4.7,3.5,4.4,2.3,0.3,4.8,2.4,0,1.1,2.1,4.6,4,2.3,1,4,2.1,2.6,3.2,4.7,3.7,2.1,5.8,4.8,2.2,4.5,2.3,0.4,3.6,0.5,3.1,2.5,4.7,2,4,3.6,4.9,4.8,2.9,2.4,3.2,1.7,1.7,1.8,1.1,1.9,1.7,6.3,2.6,4.1,4.1,4,4.7,3.1,4.5,1.4,3.7,1.9,2.2,1.2,5.5,0,3.5,0.8,2,0,3.4,4.5,5.2,1.1,4.1,4.9,0.5,3.6,1.75,3.75,5.1,1.5,4,3.55,0.75,1.5,1.5,3.25,2.5,3.74,3.6,2.72,4.33,1.09,2.03,1.35,2.12,4.46,2,3.63,3.6,0.98,5.9,2.09,1.35,,
July,,,,,,,,,,1.8,,6.9,2.8,1.3,1.1,2.7,4.5,4.9,0,0.5,0.1,3.4,4.5,2.8,1.8,7.8,1.6,1.9,1,3.8,4.9,2.2,4.6,3.1,3.4,1.9,6.5,1.2,9.8,4.2,3.2,3.4,4,3.8,4.6,8.6,1.4,2.7,1.5,2.3,3.2,3.8,3.3,3.4,2.9,2.2,3.4,3,3.9,5.9,5.2,0.2,5.3,1.4,2.7,6,1.7,1.9,3.1,3.9,5.6,2,3.8,4.9,4,1.5,3.5,3.4,2,2.9,7.9,4.61,6,3,2.2,1.62,3,2.76,3.4,7,4.55,2,4.14,1.75,3.25,1.8,3.16,1.7,1.65,3.46,2.68,3.12,1.42,4.74,3.68,0.92,7.73,3.33,5.36,3.27,5.8,,
August,,,,,,,,,,6.8,,3,2.1,4.9,1.6,4.1,5.3,1.2,2.8,0.3,1.1,1.4,2.8,1.6,3.1,3.1,2.4,5.7,5.1,6.7,1.5,4,3.1,3.3,1.2,2.6,3,2.7,4.5,5.8,4.6,8.3,4.4,3.4,4,3.4,2.4,3.6,7.4,1.3,7.1,2.2,4.1,6.5,4.9,4.4,3.2,3.3,3.7,3.3,6.5,3.6,7.8,1.8,3.1,5.6,1.9,8.2,4.1,4,2.2,6.7,6.5,4.8,3.2,4,4.1,5.4,4.6,5.2,4.6,6.9,2.4,1.16,2.1,2,1.75,1.5,4.5,1.45,1.77,3.78,4.1,4.82,4.58,3.4,5.5,0.36,5.12,3.15,3.95,6.21,2.86,4.47,6.45,1,8.67,4.77,2.8,0.54,5.41,,
September,,,,,,,,,,5.5,,4.3,4.3,2.1,2.4,0.3,5.2,2.9,4.1,5.5,2.1,5.6,6.5,3.2,3.3,4.3,4.5,3.5,3.4,2.8,4.3,1.9,2.1,7.1,3.1,6.5,3.8,5.9,1.6,3.9,1.7,4.4,4.2,3,1,1,9.5,4.6,0.7,8.1,1,0.8,2.6,6.1,1.4,2.4,1.2,0.8,3.5,3.2,0.4,3.1,2.7,2.4,3.1,0.7,2.1,2.4,10.4,3.2,1.8,1.5,4.3,3.5,4.7,4.2,2.5,7.1,0.5,2,5.18,5.5,4.7,2.35,2.15,7,5.35,1.94,2.2,1.7,4.5,0.5,3.2,4.25,5.56,2.5,6.83,2.14,2.4,1.51,6.65,2.27,3.86,3,6.21,1.93,4.59,4.48,4.98,0.24,3.84,,
October,,,,,,,,,,5.1,,1.4,11.2,7.1,4.2,7.3,2.8,3.2,4.9,1.8,9.1,3.4,5.3,4.3,4.3,5.1,2.3,3.2,2.9,1.8,6.2,5.1,4.2,6.4,3.2,10.5,6.7,4.6,2.3,7.4,3.1,7.8,9,2.9,7.3,5.9,7.5,2.2,6.5,5.6,7.7,3.6,6.8,12.8,1.8,4.7,7.8,6.9,1.5,6.4,2.3,4.5,4.9,4.1,3.3,2,8.1,7.2,4,3.5,3,1.6,1.3,5,6.5,6.2,5.4,6.6,6.6,6,6,2,6.5,5.5,4.5,10.69,6.62,3.37,7.85,3,6.44,5.5,6.2,2.55,4.35,7.5,2.13,0.87,2.41,4.43,2.54,1.07,6.42,2.57,7.31,2.98,2.91,4.5,3.6,4.8,8.62,,
