LOCH GLASS,,,,,,,,,,
Grid ref,NH534701,Long,-4.461313,Lat,57.696744,Elevation,718,ft,,
Station no,5775/37,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.28
February,,,,,,,,,,2.63
March,,,,,,,,,,0.74
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,3.08
July,,,,,,,,,,3.92
August,,,,,,,,,,6.38
September,,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,3.02
December,,,,,,,,,,6.32
Total,,,,,,,,,,
,,,,,,,,,,
1960 AM SO  Estd Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5775/37,,,,,,,,,
Midas,14511,,,,,,,,,
Hyd No,787488,,,,,,,,,
