ASHFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,TR003437,Long,0.863009,Lat,51.157484,Elevation,170,ft,,,,,,,,,,,,
Station no,277,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.04,1.78,0.93,3.18,1.81,2.6,4.45,0.96,3.3,1.17,,,
February,,,,,,,,1.33,1.68,0.68,3.64,1.32,2.19,0.93,3.52,4.42,,,,
March,,,,,,,,0.86,2.42,4.41,1.65,2.31,4.11,2.62,5.24,1.03,,,,
April,,,,,,,,3.51,1.97,1.83,1.92,1.91,0.13,3.02,1.25,1.67,,,,
May,,,,,,,,1.91,1.93,0.98,2.88,1.08,0.74,1.12,0.88,3.21,,,,
June,,,,,,,,1.87,1.51,3.37,1.95,2.56,4.06,0.61,0.82,0.37,,,,
July,,,,,,,,1.68,2.78,3.64,2.62,0.19,1.63,2.02,2.64,3.05,,,,
August,,,,,,,,2.08,3.97,2.63,2.05,1.65,7.03,1.51,2.58,1.92,,,,
September,,,,,,,,0.48,1.51,3.76,0.7,1.43,3.49,1.89,0.9,2.81,,,,
October,,,,,,,,5.26,1.46,6.35,2.42,5.51,3.52,4.73,4.06,2.18,,,,
November,,,,,,,,2.8,1.42,0.61,5.09,4.73,2.45,3.08,4.58,4.09,,,,
December,,,,,,,,3.06,3.34,4.83,4.27,6.8,3.34,1.19,7.24,7.3,,,,
Total,,,,,,,,25.88,25.77,34.02,32.37,31.3,35.29,27.17,34.67,35.35,,,,
