"ASHFORD",,,,,,,,,,,,
Grid ref,TR013430,Long,0.876899,Lat,51.150846,,,,,,,
Station no,277,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.63,2.93,1.66,1.85,3.75,4.86,2.10,4.17,2.62,3.72,,
February,6.43,1.34,2.05,2.30,2.00,2.67,4.78,3.29,0.08,2.21,,
March,3.91,3.77,0.27,3.30,2.03,0.79,1.20,1.55,1.88,1.69,,
April,1.91,1.50,1.66,0.34,0.33,0.81,0.45,1.52,2.55,0.71,,
May,2.28,1.08,1.43,2.05,4.46,0.44,1.30,2.17,0.82,1.68,,
June,1.60,1.41,2.90,3.19,1.99,2.51,1.00,4.43,2.29,1.01,,
July,1.55,0.65,2.66,3.71,1.06,2.28,3.22,1.88,2.39,2.53,,
August,4.49,3.52,2.21,3.52,2.23,3.26,3.08,4.87,1.17,4.83,,
September,3.78,4.32,3.75,2.32,1.61,2.48,3.60,3.18,0.18,2.56,,
October,2.56,2.81,2.69,2.08,5.84,1.27,1.46,4.64,3.10,7.34,,
November,5.42,3.94,2.00,5.10,1.44,0.98,4.47,2.12,4.47,5.59,,
December,3.10,3.34,1.20,1.68,2.63,3.37,1.83,4.42,6.66,4.25,,
Total,40.66,30.61,24.48,31.44,29.37,25.72,28.49,38.24,28.21,38.12,,
Calc annual,40.66,30.61,24.48,31.44,29.37,25.72,28.49,38.24,28.21,38.12,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
