"HADHAM (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TL420166,Long,0.059289,Lat,51.829973,,,,,,,
Station no,958/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,0.89,2.03,1.97,1.89,,
February,,,,,,,2.68,2.56,0.06,1.77,,
March,,,,,,,1.21,1.06,1.84,0.81,,
April,,,,,,,0.15,1.48,2.03,0.40,,
May,,,,,,,0.58,2.25,1.20,1.32,,
June,,,,,,2.55,1.87,5.87,0.97,1.67,,
July,,,,,,4.09,2.64,3.11,2.35,2.93,,
August,,,,,,3.88,1.25,3.31,0.79,2.96,,
September,,,,,,1.71,2.68,4.13,0.13,4.51,,
October,,,,,,1.71,1.97,2.12,1.73,5.58,,
November,,,,,,0.69,2.19,1.77,2.26,2.87,,
December,,,,,,2.73,1.95,2.63,3.66,2.89,,
Total,,,,,,,20.06,32.32,18.99,29.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,17.36,20.06,32.32,18.99,29.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,,
