HORNSEA TOWN HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA207482,Long,-0.164,Lat,53.916,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3403/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.18,1.50,1.88,4.64,0.79,2.04,0.76,1.94,3.10,1.20,1.08,1.50,1.73,0.68,2.62,0.90,1.47,1.02,1.96,1.14,2.87,3.63,1.63,3.19,,,,2.57,,2.27,3.46,1.66,2.00,1.47,2.79,2.08,4.26,1.72,2.59,2.55,1.36,1.54,1.21,1.73,3.43,3.33,2.33,4.20,1.34,1.86,3.16,4.80,2.07,3.39,1.94,2.56,4.48,0.91,1.13,1.78,1.77,1.09,1.32,0.79,4.29,1.42,2.37,2.53,4.79
February,2.01,2.74,2.26,1.04,0.80,2.12,1.20,1.24,4.04,2.21,1.24,0.81,1.80,0.78,1.61,1.75,1.65,1.26,2.12,-999.00,1.47,0.92,0.97,3.83,,,,1.30,,0.16,2.76,3.83,1.11,2.50,1.99,1.40,1.55,0.89,1.07,2.38,0.44,2.36,1.52,2.65,1.98,2.19,1.03,1.08,1.80,2.97,1.03,0.29,2.35,1.80,1.68,2.21,0.89,0.62,3.59,2.36,0.73,1.53,1.93,2.05,1.48,2.37,3.87,0.32,2.11
March,1.57,0.49,1.16,2.30,2.51,2.67,1.55,2.19,0.59,1.94,1.26,2.65,1.64,2.13,1.48,1.12,2.76,4.16,1.07,-999.00,2.77,2.99,2.17,1.67,,,,2.83,,0.80,1.67,1.56,1.01,1.45,0.51,1.70,2.51,0.03,1.64,0.40,1.80,2.06,2.16,0.63,0.93,2.62,0.16,2.14,1.59,1.38,0.51,0.30,1.06,0.77,0.95,4.05,0.88,0.87,1.06,3.10,2.27,0.34,1.85,1.91,0.69,1.52,1.91,1.45,1.34
April,1.32,0.55,1.36,1.43,1.36,1.85,2.84,1.70,0.88,1.63,1.42,2.62,1.11,1.85,1.07,1.58,2.16,2.18,1.49,-999.00,0.62,1.97,0.54,0.74,,,,1.67,,0.93,0.96,1.19,1.82,2.24,1.66,1.91,0.99,1.15,1.87,2.59,3.26,0.94,1.77,2.19,1.48,3.24,0.34,1.42,1.35,0.86,1.08,1.19,2.08,1.89,1.56,1.08,1.38,1.88,2.47,1.27,1.33,1.78,0.46,0.89,0.66,0.53,0.99,2.32,1.29
May,2.88,1.18,1.65,0.80,0.75,1.55,1.82,3.78,1.65,0.44,2.02,2.66,2.13,0.78,1.99,2.98,2.54,1.53,3.73,-999.00,1.79,2.28,1.63,1.38,,,,0.55,,2.37,1.01,3.16,3.03,2.23,1.60,1.06,0.91,0.98,1.26,2.23,4.11,1.54,0.57,0.40,1.40,3.43,2.30,1.48,0.94,1.07,3.18,3.67,0.47,1.63,2.00,0.42,1.88,1.52,2.23,3.05,1.53,1.47,1.80,2.99,0.66,1.14,2.20,0.57,1.06
June,3.88,1.25,3.62,3.50,2.18,1.55,2.13,1.16,2.15,1.61,1.68,1.63,0.57,0.93,1.44,3.68,1.13,3.33,1.42,2.68,3.57,0.90,2.11,0.34,,,,1.13,,0.22,0.77,0.79,1.26,0.00,3.44,3.64,2.93,1.28,1.71,2.81,0.46,1.92,1.01,2.13,2.69,2.16,1.66,4.05,1.17,0.46,0.94,1.29,1.81,2.16,1.76,2.40,4.50,0.75,0.94,1.62,1.93,2.00,1.49,1.18,2.25,2.06,2.93,1.43,0.53
July,1.74,2.26,3.54,4.84,1.33,0.39,0.98,0.51,1.53,0.70,2.17,2.81,2.91,1.16,1.33,0.98,2.54,3.43,2.97,0.96,2.29,0.84,2.43,5.04,,,,1.78,,0.95,5.50,2.63,3.84,1.70,1.64,2.94,0.63,1.54,4.26,3.54,2.23,1.26,1.51,0.30,4.24,3.03,3.55,2.35,6.33,2.66,2.16,0.81,2.10,1.52,4.05,0.92,1.37,1.62,3.52,1.29,1.54,1.68,1.17,1.20,3.21,3.46,3.14,2.02,3.95
August,2.68,1.16,1.87,2.67,2.69,3.51,2.92,0.42,3.76,2.75,2.01,2.83,3.10,2.62,1.80,2.26,1.37,4.96,3.18,2.33,3.48,0.53,2.08,1.48,,,,2.72,,2.82,2.29,2.78,2.77,1.14,2.23,5.97,4.02,1.84,2.98,3.02,1.34,0.19,2.30,1.14,2.30,0.49,1.79,1.67,1.27,3.26,0.80,1.88,3.72,2.33,3.67,0.23,3.44,1.80,3.32,5.39,1.84,2.50,4.65,0.61,5.00,3.32,1.96,0.58,3.28
September,1.02,2.34,1.08,0.87,3.16,3.43,0.29,3.02,0.93,0.57,0.48,3.51,0.99,1.93,0.77,0.55,2.80,1.21,1.37,2.86,1.96,0.61,1.45,1.36,,,,1.36,,0.64,2.17,3.44,2.02,3.15,0.94,3.27,0.30,0.37,2.71,2.26,2.47,2.06,1.72,3.77,1.24,1.28,1.69,1.07,1.18,0.70,1.67,2.62,6.03,1.07,4.51,1.34,1.49,1.07,2.45,1.14,4.00,0.86,2.07,1.16,1.17,2.29,2.34,0.16,2.70
October,5.18,1.80,4.67,3.83,6.02,1.66,3.55,2.26,2.51,1.55,2.47,6.19,1.15,2.42,4.77,3.81,1.11,3.44,2.05,2.01,3.06,2.13,1.85,1.16,,,,3.68,,1.16,1.71,1.59,2.97,2.11,3.04,1.63,3.07,1.96,1.80,1.18,3.13,5.44,1.52,3.38,1.41,1.98,2.80,2.76,2.78,2.55,1.90,1.69,2.86,2.18,1.31,0.55,1.82,2.12,0.85,1.19,2.58,1.73,3.92,1.37,1.56,1.97,1.54,1.78,5.96
November,1.26,3.94,1.71,2.63,1.68,2.81,2.34,1.31,2.53,4.06,1.22,2.75,2.29,2.94,3.21,2.59,1.29,0.98,3.51,3.13,3.24,2.39,2.71,2.77,,,,2.67,,2.70,1.82,3.02,1.42,3.08,3.01,2.71,1.82,3.72,4.28,2.86,1.39,2.12,2.37,3.41,3.10,2.36,2.51,3.15,3.49,2.15,1.69,2.95,4.09,1.02,5.17,1.56,1.30,3.17,4.18,3.51,3.52,1.76,3.67,1.00,1.44,2.03,0.62,3.34,4.64
December,1.07,2.23,3.11,2.25,3.67,2.04,2.11,2.84,3.37,3.89,2.10,0.94,1.52,0.68,1.88,2.80,2.31,4.61,2.16,3.61,2.11,1.67,4.63,4.93,,,,3.26,,2.06,2.48,3.38,2.29,3.07,0.73,2.55,1.66,4.77,1.88,1.29,1.11,0.55,4.27,2.26,1.58,4.98,3.36,2.63,2.03,0.50,2.25,1.39,2.16,1.17,2.67,1.33,1.99,1.89,2.60,1.37,1.72,1.36,1.94,2.58,2.05,2.23,2.78,3.78,3.00
Total,25.79,21.44,27.91,30.80,26.94,25.62,22.49,22.37,27.04,22.55,19.15,30.90,20.94,18.90,23.97,25.00,23.13,32.11,27.03,,29.23,20.86,24.20,27.89,,,,25.52,,17.08,26.60,,25.54,24.14,23.58,30.86,24.65,20.25,28.05,27.11,23.10,21.98,21.93,23.99,25.78,31.09,23.52,28.00,25.27,20.42,20.37,22.88,30.80,20.93,31.27,18.65,25.42,18.22,28.34,27.07,24.76,18.10,26.27,17.73,24.46,24.34,26.65,20.28,34.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
