"HORNSEA (TOWN HALL)",,,,,,,,,,,,
Grid ref,TA207482,Long,-0.163792,Lat,53.915892,,,,,,,
Station no,3403/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.78,1.77,1.09,1.32,0.79,4.29,1.42,2.37,2.53,4.79,,
February,2.36,0.73,1.53,1.93,2.05,1.48,2.37,3.87,0.32,2.11,,
March,3.10,2.27,0.34,1.85,1.91,0.69,1.52,1.91,1.45,1.34,,
April,1.27,1.33,1.78,0.46,0.89,0.66,0.53,0.99,2.32,1.29,,
May,3.05,1.53,1.47,1.80,2.99,0.66,1.14,2.20,0.57,1.06,,
June,1.62,1.93,2.00,1.49,1.18,2.25,2.06,2.93,1.43,0.53,,
July,1.29,1.54,1.68,1.17,1.20,3.21,3.46,3.14,2.02,3.95,,
August,5.39,1.84,2.50,4.65,0.61,5.00,3.32,1.96,0.58,3.28,,
September,1.14,4.00,0.86,2.07,1.16,1.17,2.29,2.34,0.16,2.70,,
October,1.19,2.58,1.73,3.92,1.37,1.56,1.97,1.54,1.78,5.96,,
November,3.51,3.52,1.76,3.67,1.00,1.44,2.03,0.62,3.34,4.64,,
December,1.37,1.72,1.36,1.94,2.58,2.05,2.23,2.78,3.78,3.00,,
Total,27.07,24.76,18.10,26.27,17.73,24.46,24.34,26.65,20.28,34.65,,
Calc annual,27.07,24.76,18.10,26.27,17.73,24.46,24.34,26.65,20.28,34.65,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
