"CALNE HIGH STREET",,,,,,,,,,,,
Grid ref,ST997711,Long,-2.005706,Lat,51.438895,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.55,1.32,1.35,3.34,3.29,0.47,4.55,1.07,1.53,0.66,,
February,4.63,1.08,0.88,1.58,3.35,0.51,2.12,1.48,1.37,0.54,,
March,1.17,2.27,1.63,4.01,1.44,3.69,1.64,0.86,3.02,3.27,,
April,1.65,2.57,1.73,2.77,1.59,2.50,0.90,3.66,2.94,1.43,,
May,1.55,1.69,2.06,4.04,2.27,0.18,1.82,2.17,1.81,0.85,,
June,1.88,1.86,2.92,4.45,1.00,3.47,3.57,2.66,0.40,2.92,,
July,1.49,3.27,0.93,3.55,3.95,1.03,1.08,2.41,2.41,2.16,,
August,2.58,2.50,3.34,4.25,3.07,3.47,1.68,1.98,3.61,2.88,,
September,0.78,1.84,1.68,2.56,1.55,1.63,0.91,0.76,1.95,2.56,,
October,2.84,1.93,1.69,6.57,0.81,1.54,5.97,5.12,1.12,4.72,,
November,2.58,0.85,1.96,1.69,1.57,3.44,3.69,1.77,1.22,0.73,,
December,4.20,5.23,1.95,2.08,1.89,0.97,1.79,4.26,1.99,3.36,,
Total,27.90,26.41,22.12,40.89,25.78,22.90,29.72,28.20,23.37,26.08,,
Calc annual,27.90,26.41,22.12,40.89,25.78,22.90,29.72,28.20,23.37,26.08,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
