CALNE-HIGH-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST997711,Long,-2.005706,Lat,51.438895,Elevation,244,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,3.21,0.78,1.61,1.75,2.96,3.63,2.69,3.97,2.32,0.88,0.92,3.26,2.38,1.12,2.19,2.22,2.75,0.75,1.81,0.45,4.49,2.55,1.32,1.35,3.34,3.29,0.47,4.55,1.07,1.53,0.66,2.67,0.76,4.47,4.11,0.67,4.99,2.08,1.87,3.28,4.87,3.43,3.05,3.24,1.7,3.62,3.28,4.28,3.18,5.29,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.31,3.47,3.84,1.77,3.92,1.86,2.98,0.55,0.75,1.87,1.59,0.71,0.06,1.38,3.93,2.35,0.29,0.31,2.94,1.69,2.98,4.63,1.08,0.88,1.58,3.35,0.51,2.12,1.48,1.37,0.54,3.7,2.09,1.86,1.38,3.14,5.86,4.66,1.06,1.47,2.39,1.17,0.24,3.21,5.67,0.29,4.31,2.08,4.72,2.43,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.15,0.67,2.01,1.81,1.12,2.3,1.09,1.9,1.72,3.47,2.45,1.13,1.55,0.78,0.51,2.04,2.15,3.3,3.91,0.56,0.61,1.17,2.27,1.63,4.01,1.44,3.69,1.64,0.86,3.02,3.27,0.65,2.48,5.2,2.99,4.66,1.57,4.2,2.04,1.01,4.09,1.54,1.38,2.63,2.25,1.31,0.35,1.28,2.71,2.46,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.01,2.49,0.77,4.03,0.72,1.71,2.04,2.54,1.2,2.02,3.18,1.31,1,0.87,0.07,2.2,2.18,1.04,2.26,1.69,2.82,1.65,2.57,1.73,2.77,1.59,2.5,0.9,3.66,2.94,1.43,2.35,1.44,0.07,3.29,1.42,1.18,0.98,1.66,2.78,1.91,6.24,0.4,3.03,2.25,2.7,1.81,2.98,1.93,1.66,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,4.27,0.81,1.69,1.75,2.08,1.7,2.47,3.44,1.62,1.32,1.73,1.94,2.67,1.06,1.47,1.62,2.39,0.22,0.91,2.03,2.45,1.55,1.69,2.06,4.04,2.27,0.18,1.82,2.17,1.81,0.85,1.65,1.27,1.81,2.87,1.54,3.57,1.58,2.08,1.97,0.76,1.46,2.44,1.08,1.34,5.14,3.01,3.45,1.17,1.17,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,5.03,1.88,2.05,4,3.74,3.44,1.62,0.77,0.95,3.14,1.08,3.79,0.97,2.17,2,2.52,0.92,1.44,2.76,1.66,1.71,1.88,1.86,2.92,4.45,1,3.47,3.57,2.66,0.4,2.92,4.75,2.15,3.19,0.69,2.14,1.59,2.18,3.25,0.96,1.2,2.13,0.27,1.75,0.53,2.35,0.03,2.73,2.87,2.55,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,5.12,5.06,2.59,3.51,3.23,2.8,0.34,3.32,1.08,4.34,4.39,3.87,2.79,2.7,5.23,3.38,3.67,1.36,1.09,0.37,0.59,1.49,3.27,0.93,3.55,3.95,1.03,1.08,2.41,2.41,2.16,1.35,0.01,2.25,0.84,3.55,3.78,1.32,3.59,5.44,2.25,5.58,0.33,5.14,1.19,4.46,3.87,2.72,3.96,3.09,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,7.95,1.02,4.98,2.93,1.33,1.53,2.33,1.33,1.74,2.31,2.96,2.51,7.06,3.48,1.9,2.6,3.07,3.12,4.46,1.63,2.77,2.58,2.5,3.34,4.25,3.07,3.47,1.68,1.98,3.61,2.88,3.8,1.19,5.11,0.66,2.77,2.6,3.38,6.67,1.84,2.51,1.17,1.26,5.18,3.08,2.48,2.9,1.8,5.15,2.02,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.28,3.98,1.94,2.8,4.27,1.96,5.22,2.28,2.3,1.77,1.3,1.31,1.77,2.98,1.44,1.77,0.95,6.03,2.94,0.93,3.24,0.78,1.84,1.68,2.56,1.55,1.63,0.91,0.76,1.95,2.56,0.3,1.3,1.36,3.13,1.17,1.3,1.16,1.51,6.65,1.37,1.54,2.64,1.88,3.45,3.7,3.44,0.94,7.16,1.51,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,1.66,4.5,1.41,5.53,2.57,0.87,3.88,4.85,2.4,1.05,2.35,1.23,7.02,4.12,4.59,3.58,3.57,2.87,1.52,3.93,2.79,2.84,1.93,1.69,6.57,0.81,1.54,5.97,5.12,1.12,4.72,3.87,2.45,4.37,2.46,2.81,3.58,5.79,5.09,1.64,1.64,2.55,0.94,1.12,5.18,5.26,3.43,3.45,2.21,5.11,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
